Company,Invoice No,Date of Invoice,Payment Month,Client,FSAM / Job,FDA,Cat,Amount,,,,,,,,,,,,,,,,
Altus,Inv 9507818,5/7/17,6/30/17,AARNet,AARNet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,AARNet,$975.97,,,,,,,,,,,,,,,,
Altus,Inv 9507819,5/7/17,6/30/17,AARNet,AARNet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,AARNet,"$1,776.88",,,,,,,,,,,,,,,,
Altus,Inv 9507859,5/7/17,6/30/17,AARNet,AARNet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,AARNet,"$1,195.95",,,,,,,,,,,,,,,,
Altus,Inv 9512031,6/11/17,7/31/17,AARNet,AARNet,ICQ-459 IPT2506 NSW HEALTH AUBURN HOSPITAL  ,AARNet,$614.04,,,,,,,,,,,,,,,,
COG,Inv 1100,6/21/17,7/31/17,AARNet,AARNet,ICQ-459 IPT2506 NSW HEALTH AUBURN HOSPITAL  ,AARNet,$559.78,,,,,,,,,,,,,,,,
COG,Inv 1078,6/15/17,7/31/17,AARNet,AARNet,ICQ-459 IPT2506 NSW HEALTH AUBURN HOSPITAL  ,AARNet,"$3,056.15",,,,,,,,,,,,,,,,
Craig Comms,Inv 9506687,4/30/17,7/31/17,NBN Co,NBN Minor Works,MW20680 - 2BLK-02/07 - MPS-032 & MPS-010,NBN Minor Works,"$1,501.72",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803487,6/11/17,7/31/17,NBN Co,NBN Greenfields,MW20532 - 2WYO-01 - AYCA-47OSBM - Pacific Business Centre,NBN Greenfields,$549.22,,,,,,,,,,,,,,,,
Altus,Inv 9513752,6/30/17,7/31/17,NBN Co,NBN Greenfields,MW20554 - AYCA-2DO5HN - MNJG 145 Princes Hwy Dapto - 1,NBN Greenfields,$235.00,,,,,,,,,,,,,,,,
Sand 4 U,Inv 16233,6/19/17,7/31/17,AARNet,AARNet,ICQ-459 IPT2506 NSW HEALTH AUBURN HOSPITAL  ,AARNet,$77.27,,,,,,,,,,,,,,,,
Rainer,Inv 003,7/2/17,8/31/17,Visionstream ,FTTB Survey and Design,2DAL-24 MPS-008,Visionstream ,$90.00,,,,,,,,,,,,,,,,
Central Coast Council,Inv 987582.99 374012,6/28/17,7/31/17,NBN Co,NBN Minor Works,MW20104 2GOS-06 LNDN Koala,NBN Minor Works,"$1,925.79",,,,,,,,,,,,,,,,
Altus,Inv 9508561,5/14/17,6/30/17,AARNet,AARNet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,AARNet,$609.58,,,,,,,,,,,,,,,,
Altus,Inv 9513611,6/25/17,7/31/17,NBN Co,NBN A417,MW20615 - AYCA-3ZMQUE - Grove Family Trust – 1,NBN Greenfields,$235.00,,,,,,,,,,,,,,,,
Altus,Inv 9513612,6/25/17,7/31/17,NBN Co,NBN Greenfields,MW20698 - AYCA-1SQ3K5 - 189 Macquarie Street,NBN Greenfields,$235.00,,,,,,,,,,,,,,,,
Altus,Inv 9513613,6/25/17,7/31/17,NBN Co,NBN Greenfields,MW20767 - AYCA-1PM9JB - 2GRA-64 - Merrylands Rd,NBN Greenfields,$235.00,,,,,,,,,,,,,,,,
Altus,Inv 9513614,6/25/17,7/31/17,NBN Co,NBN Greenfields,"MW20648-2KEL-03 -AYCA-3BH4IQ - Lot A, 8 Merriville Road - 1",NBN Greenfields,$235.00,,,,,,,,,,,,,,,,
KSJDA,Inv 17,7/9/17,8/31/17,NBN Co,NBN Greenfields,MW20436 - AYCA-3B8YY0 - Warrana Place – 2,NBN Greenfields,"$4,740.05",,,,,,,,,,,,,,,,
Quibcon,Inv 532,7/27/17,8/31/17,AARNet,AARNet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,AARNet,"$7,000.00",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803532,7/17/17,8/31/17,AARNet,AARNet,ICQ-459 IPT2506 NSW HEALTH AUBURN HOSPITAL  ,AARNet,"$3,870.83",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803528,7/14/17,8/31/17,NBN Co,NBN Greenfields,MW20436 - AYCA-3B8YY0 - Warrana Place – 2,NBN Greenfields,"$5,402.66",,,,,,,,,,,,,,,,
COG,Inv 1207,7/30/17,8/31/17,AARNet,AARNet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,AARNet,$581.00,,,,,,,,,,,,,,,,
Schokmans,Inv 2293,8/8/17,9/30/17,NBN Co,NBN Greenfields,MW20729 - COR-04 - AYCA-4D6AY6 - 94 POPES RD,NBN Greenfields,"$10,667.80",,,,,,,,,,,,,,,,
Schokmans,Inv 2294,8/9/17,9/30/17,NBN Co,NBN Greenfields,"MW20604 - AYCA-46I5YX - 878 Pacific Hwy, Lisarow",NBN Greenfields,"$4,792.94",,,,,,,,,,,,,,,,
Schokmans,Inv 2295,8/9/17,9/30/17,NBN Co,NBN Greenfields,MW20927 - 2ASH-61 - AYCA-482KZM - Lionsgate Projects – 1,NBN Greenfields,"$4,280.95",,,,,,,,,,,,,,,,
Altus,Inv 9517404,8/6/17,9/30/17,AARNet,AARNet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,AARNet,$752.23,,,,,,,,,,,,,,,,
Altus,Inv 951738,8/6/17,9/30/17,NBN Co,NBN Minor Works,MW20764 - 2BLK-12-07 - Lot 21 Western MTQY/2 Rudders/Unit 40 - 15 Valediction,NBN Minor Works,"$1,396.00",,,,,,,,,,,,,,,,
Altus,Inv 9516894,7/30/17,8/31/17,AARNet,AARNet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,AARNet,"$2,234.21",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803569,8/7/17,9/30/17,NBN Co,NBN Greenfields,"MW20367 - AYCA-3H6ZBG - 2NRN-03 - 61 Smeaton Grange Rd,",NBN Greenfields,"$1,574.16",,,,,,,,,,,,,,,,
Alliance Geotechnical,Inv 0203,9/5/17,10/31/17,NBN Co,NBN Greenfields,MW21223 - AYCA-2568YW - 25 29 Harbour St,NBN Greenfields,$150.00,,,,,,,,,,,,,,,,
Craig Comms,Inv 1803572,8/7/17,9/30/17,NBN Co,NBN Greenfields,"MW20385 - AYCA-38OMCL - 6 Hepher Rd, Campbelltown",NBN Greenfields,"$1,702.74",,,,,,,,,,,,,,,,
Altus,inv 9518845,8/27/17,9/30/17,NBN Co,NBN Greenfields,MW21223 - AYCA-2568YW - 25 29 Harbour St,NBN Greenfields,"$2,149.98",,,,,,,,,,,,,,,,
Schokmans,Inv 2324,9/7/17,10/31/17,NBN Co,NBN Greenfields,MW20875 - ACYA-3W8TJD - 31-33 Irelands Road Blacktown ,NBN Greenfields,"$2,573.97",,,,,,,,,,,,,,,,
Schokmans,Inv 2339,9/8/17,10/31/17,NBN Co,NBN Greenfields,"MW20806 - 2EPS-61 -AYCA-42J4C9– 54 Tyrone Place, Erskine Park - Loscam",NBN Greenfields,"$6,233.70",,,,,,,,,,,,,,,,
Schokmans,Inv 2338,9/8/17,10/31/17,NBN Co,NBN Greenfields,MW21095 - AYCA-4K6BDG - Melito Drive Externals,NBN Greenfields,"$4,155.96",,,,,,,,,,,,,,,,
Schokmans,Inv 2337,9/8/17,10/31/17,NBN Co,NBN Greenfields,MW21062 - AYCA-4IDMPC- 2REV-20 - 9 Fitzpatrick St - 1,NBN Greenfields,"$1,725.57",,,,,,,,,,,,,,,,
Schokmans,Inv 2336,9/8/17,10/31/17,NBN Co,NBN Greenfields,MW20585 - AYCA-3KUUY6 - 2WOY-09 - Brittwood ,NBN Greenfields,"$8,914.77",,,,,,,,,,,,,,,,
Schokmans,Inv 2309,8/23/17,9/30/17,Visionstream ,FTTB Build ,2DAL-23 MPS-004,Visionstream ,"$1,736.50",,,,,,,,,,,,,,,,
Schokmans,Inv 2310,8/23/17,9/30/17,Visionstream ,FTTB Build ,2DAL-23 MPS-003,Visionstream ,"$2,300.00",,,,,,,,,,,,,,,,
OS Cable Services,Inv 27,8/25/17,9/30/17,NBN Co,NBN Minor Works,MW20495 - 2CBT-09 - MPS-01 - FTTN-FTTB Construction ,NBN Minor Works,"$3,479.84",,,,,,,,,,,,,,,,
OS Cable Services,Inv 26,8/25/17,9/30/17,NBN Co,NBN Greenfields,MW21092 - AYCA-1NGPGW - 2BRG-03Gledswood,NBN Greenfields,"$5,539.70",,,,,,,,,,,,,,,,
L&M Trenchless,INV 4045A,9/7/17,10/31/17,NBN Co,NBN Minor Works,MW20764 - 2BLK-12-07 - Lot 21 Western MTQY/2 Rudders/Unit 40 - 15 Valediction,NBN Minor Works,"$6,331.58",,,,,,,,,,,,,,,,
Schokmans,Inv 2341,9/13/17,10/31/17,NBN Co,NBN Greenfields,MW20941 - AYCA-2KQ04J -2KEL-01 - 112 Hambledon,NBN Greenfields,"$1,039.30",,,,,,,,,,,,,,,,
Schokmans,Inv 2340,9/13/17,10/31/17,NBN Co,NBN Greenfields,MW20628 - AYCA-32PR0X - 2ROU-03 - 21 Hezlett Rd Kellyville 1,NBN Greenfields,"$3,682.66",,,,,,,,,,,,,,,,
KSJDA,Inv 17/1108,9/22/17,10/31/17,NBN Co,NBN Greenfields,MW21209 - AYCA-4K7VB2 -2TWH-05 - River Views – 1,NBN Greenfields,"$1,265.00",,,,,,,,,,,,,,,,
Schokmans,Inv 2366,10/6/17,11/30/17,NBN Co,NBN Greenfields,MW20966 - 2BLK-11 - AYCA-3W8LJB - 42-44 Norfolk St,NBN Greenfields,"$5,913.37",,,,,,,,,,,,,,,,
Schokmans,Inv 2367,10/6/17,11/30/17,NBN Co,NBN Greenfields,MW20844 - 2TAH-02 - AYCA-3YUT4L - Brundah Road - 1,NBN Greenfields,"$4,307.25",,,,,,,,,,,,,,,,
Schokmans,Inv 2365,10/6/17,11/30/17,NBN Co,NBN Greenfields,MW20817 - 2LIV-12 - 2QUA – 02- 2PTH-02 - Glenfield_Margo_Jamison,NBN Greenfields,"$1,257.96",,,,,,,,,,,,,,,,
Schokmans,Inv 2364,10/6/17,11/30/17,NBN Co,NBN Greenfields,MW20798 - AYCA-2LT5GF - Castlereagh Street - 1,NBN Greenfields,"$3,046.80",,,,,,,,,,,,,,,,
Schokmans,Inv 2363,10/6/17,11/30/17,NBN Co,NBN Greenfields,MW20318 - AYCA-35AM2J - NENSW0608 - Yarrandale Road,NBN Greenfields,"$2,317.00",,,,,,,,,,,,,,,,
Hills Council,PO 0308,10/6/17,,NBN Co,NBN Greenfields,MW21085 - 2ROU-02 - AYCA-47PV52 - Non Standard Builds - 22-24 Barry Road ,NBN Greenfields,"$4,410.54",,,,,,,,,,,,,,,,
Altus,Inv 9517888,8/13/17,9/30/17,AARNet,AARNet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,AARNet,"$1,230.26",,,,,,,,,,,,,,,,
Pacific Utilities,Inv 0224,10/9/17,11/30/17,Visionstream ,FTTB Build ,2DAL-24 MPS-008,Visionstream ,"$1,610.00",,,,,,,,,,,,,,,,
LCC,Inv 10251,8/31/17,9/30/17,NBN Co,NBN Greenfields,MW21223 - AYCA-2568YW - 25 29 Harbour St,NBN Greenfields,"$8,825.86",,,,,,,,,,,,,,,,
Schokmans,Inv 2383,10/20/17,11/30/17,NBN Co,NBN Greenfields,MW20939 - AYCA-2Y4BYB -2PEN-64 - 344 GWH Wentworthville – 1- EXTERNAL,NBN Greenfields,"$1,975.17",,,,,,,,,,,,,,,,
Schokmans,Inv 2382,10/20/17,11/30/17,NBN Co,NBN Greenfields,MW21250 - AYCA-4BEC9X-2LIV-68-The Birdwood,NBN Greenfields,"$4,549.53",,,,,,,,,,,,,,,,
Schokmans,Inv 2381,10/20/17,11/30/17,NBN Co,NBN Greenfields,MW21015 - AYCA-1Z6XAC -1-9 Florence Street & 19-23 Quinn Street ,NBN Greenfields,"$20,850.84",,,,,,,,,,,,,,,,
Schokmans,Inv 2378,10/20/17,11/30/17,NBN Co,NBN Greenfields,MW21015 - AYCA-1Z6XAC -1-9 Florence Street & 19-23 Quinn Street ,NBN Greenfields,"$1,000.00",,,,,,,,,,,,,,,,
Schokmans,Inv 2379,10/20/17,11/30/17,NBN Co,NBN Greenfields,MW20844 - 2TAH-02 - AYCA-3YUT4L - Brundah Road - 1,NBN Greenfields,"$1,810.66",,,,,,,,,,,,,,,,
Schokmans,Inv 2380,10/20/17,11/30/17,NBN Co,NBN Minor Works,"MW20812 - 2WLG-01 - 2LIV-04 - Crown, Kembla, Macquarie, George",NBN Minor Works,$550.00,,,,,,,,,,,,,,,,
Schokmans,Inv 2320,9/5/17,10/31/17,NBN Co,NBN Greenfields,MW20585 - AYCA-3KUUY6 - 2WOY-09 - Brittwood ,NBN Greenfields,"$1,000.00",,,,,,,,,,,,,,,,
Rainer,Inv 0004,10/24/17,11/30/17,AARNet,AARNet,ICQ-459 IPT2506 NSW HEALTH AUBURN HOSPITAL  ,AARNet,$450.00,,,,,,,,,,,,,,,,
Craig Comms,Inv 1803621,10/16/17,11/30/17,NBN Co,NBN Greenfields,MW20821 - AYCA-45D358 NSB Albuera Close -  BUILD,NBN Greenfields,"$6,043.99",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803622,10/16/17,11/30/17,NBN Co,NBN Greenfields,MW21052 - 2MAI-11 - AYCA-3OLAP3-WA Brown INTERNAL,NBN Greenfields,"$6,294.34",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803629,10/16/17,11/30/17,NBN Co,NBN Greenfields,MW20939 - AYCA-2Y4BYB -2PEN-64 - 344 GWH Wentworthville – 1- EXTERNAL,NBN Greenfields,$763.84,,,,,,,,,,,,,,,,
Craig Comms,Inv 1803630,10/16/17,11/30/17,NBN Co,NBN Greenfields,MW21015 - AYCA-1Z6XAC -1-9 Florence Street & 19-23 Quinn Street ,NBN Greenfields,"$5,914.06",,,,,,,,,,,,,,,,
OS Cable Services,Inv 25,8/19/17,9/30/17,AARNet,AARNet,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,AARNet,"$3,500.00",,,,,,,,,,,,,,,,
KSJDA,Inv 17/1153,11/16/17,12/31/17,NBN Co,NBN Greenfields,MW21209 - AYCA-4K7VB2 -2TWH-05 - River Views – 1,NBN Greenfields,$748.00,,,,,,,,,,,,,,,,
Craig Comms,Inv 1803661,11/24/17,12/31/17,NBN Co,NBN A417,MW21478-AYCA-4PIZ8V  -2MYF-02 - The Furnace - 1 – EXTERNAL    ,NBN New Devs,"$1,746.62",,,,,,,,,,,,,,,,
Schokmans,Inv 2415,11/27/17,12/31/17,NBN Co,NBN A417,MW21104 - AYCA-3UHHF8-2LIV-12-25 Glenfield Road ,NBN New Devs,"$2,227.08",,,,,,,,,,,,,,,,
Schokmans,Inv 2416,11/27/17,12/31/17,NBN Co,NBN A401,"MW20812 - 2WLG-01 - 2LIV-04 - Crown, Kembla, Macquarie, George",NBN Brownfields,"$7,533.95",,,,,,,,,,,,,,,,
Schokmans,Inv 2417,11/27/17,12/31/17,NBN Co,NBN A417,MW21471 - AYCA-2T1HEY -2KIL-63 - RIDGE CENTRE - 1-E XTERNAL ,NBN New Devs,"$2,357.52",,,,,,,,,,,,,,,,
Schokmans,Inv 2418,11/27/17,12/31/17,NBN Co,NBN A401,MW21512 - AYCA-4IUR86 - 2NLT-09 - Clarendene - 1,NBN New Devs,"$3,416.80",,,,,,,,,,,,,,,,
Schokmans,Inv 2419,11/27/17,12/31/17,NBN Co,NBN A401,MW21285 - AYCA-496F3H - 2MSV-04 - 8 Bendooley Street Bowral,NBN New Devs,"$7,890.75",,,,,,,,,,,,,,,,
Schokmans,Inv 2420,11/27/17,12/31/17,NBN Co,NBN A417,MW21483 - AYCA-2Y1KQS - Charles Banks – 1- EXTERNAL,NBN New Devs,"$5,541.28",,,,,,,,,,,,,,,,
Schokmans,Inv 2422,11/27/17,12/31/17,NBN Co,NBN A417,MW20692 - AYCA-2HTGPP - Scalabrini Village Residential,NBN New Devs,"$7,738.49",,,,,,,,,,,,,,,,
Schokmans,Inv 2423,11/27/17,12/31/17,NBN Co,NBN A417,MW21425 - AYCA-2IQYU1 - 2LIV-04 - Macquaire St Development – 1-EXTERNAL,NBN New Devs,"$2,365.75",,,,,,,,,,,,,,,,
Schokmans,Inv 2431,11/29/17,12/31/17,NBN Co,NBN A417,MW21452 - AYCA-4FFBGM - 2PIT-01 - The Oaks Development,NBN New Devs,"$6,437.11",,,,,,,,,,,,,,,,
LCC,Inv 10255,10/17/17,11/30/17,NBN Co,NBN A401,MW20865 - AYCA-2K3SGD - 2NWR-03 - Elian Crescent 1.,NBN New Devs,"$1,480.00",,,,,,,,,,,,,,,,
LCC,Inv 10258,11/30/17,12/31/17,NBN Co,NBN A401,MW21322 - AYCA-4FHB4D - 2SHH-02 - 3 Bellbird Close Barrack Heights,NBN New Devs,"$3,289.75",,,,,,,,,,,,,,,,
LCC,Inv 10259,11/30/17,12/31/17,NBN Co,NBN A401,MW21006 - AYCA-49DNJ1 - Nowra BP & McDonalds - 1-  INTERNAL AND EXTERNAL,NBN New Devs,"$1,080.00",,,,,,,,,,,,,,,,
Schokmans,Inv 2451,12/1/17,1/31/18,NBN Co,NBN A417,MW21244 - AYCA-4J7JTW - 2LIV-03 - Passefield St,NBN New Devs,"$3,120.05",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A417,MW21426 - AYCA-3QAOV2 - 2PTH-05 - Meyer Timber NSW,NBN New Devs,"$1,331.80",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A417,MW21293 - AYCA-4GNO0E - 2LIV-63 - Coopers Paddock - 1-  INTERNAL ,NBN New Devs,"$1,387.27",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A417,MW21205 - AYCA-3349N6 - 2RIV-02 - The Maples - 2             ,NBN New Devs,$637.19,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A417,MW21458 - AYCA-4DZEDU-2LID-07-Auburn Vista - 1 - EXTERNAL,NBN New Devs,$127.27,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A401,MW20764 - 2BLK-12-07 - Lot 21 Western MTQY/2 Rudders/Unit 40 - 15 Valediction,NBN Brownfields,$890.91,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A417,MW21281 - AYCA-3K4RCM - Marsden Park Tonzat Development - 2,NBN New Devs,"$1,145.45",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A401,MW20154 - 2WLG-01 & 02 ,NBN Brownfields,$254.55,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 114,11/30/17,12/31/17,NBN Co,NBN A417,MW21381 - AYCA-4B5X29 - 2LIV-03 - 209-213 Memorial Ave - 1- EXTERNAL,NBN New Devs,$804.09,,,,,,,,,,,,,,,,
Cumberland Council,Inv 67449,11/27/17,12/31/17,AARNet,AARNet,ICQ-459 IPT2506 NSW HEALTH AUBURN HOSPITAL  ,AARNet,"$5,039.50",,,,,,,,,,,,,,,,
KSJDA,Inv 17/1166,12/5/17,1/31/18,NBN Co,NBN A401,MW21311 - AYCA-4N13KQ - 2WAU-21 - 127 Cameron St,NBN New Devs,"$6,106.05",,,,,,,,,,,,,,,,
KSJDA,Inv 17/1167,12/5/17,1/31/18,NBN Co,NBN A401,MW21484 - AYCA-2CO7SU - 2ARM-04 - Brown - 1,NBN New Devs,"$3,247.52",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803673,12/4/17,1/31/18,NBN Co,NBN A417,MW21104 - AYCA-3UHHF8-2LIV-12-25 Glenfield Road ,NBN New Devs,"$9,051.32",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803724,1/8/18,2/28/18,NBN Co,NBN A417,"MW20648-2KEL-03 -AYCA-3BH4IQ - Lot A, 8 Merriville Road - 1",NBN New Devs,$700.30,,,,,,,,,,,,,,,,
KSJDA,Inv 18/1175,1/12/18,2/28/18,NBN Co,NBN A417,MW20843 - AYCA-4EIN5M - 2KCL-02 - 171 Casuarina Way Pty Ltd - 1- EXTERNAL,NBN New Devs,"$1,934.64",,,,,,,,,,,,,,,,
Schokmans,Inv 2451,12/1/17,1/31/18,NBN Co,NBN A417,MW21244 - AYCA-4J7JTW - 2LIV-03 - Passefield St,NBN New Devs,"$1,175.65",,,,,,,,,,,,,,,,
Schokmans,Inv 2452,12/1/17,1/31/18,NBN Co,NBN A417,MW21471 - AYCA-2T1HEY -2KIL-63 - RIDGE CENTRE - 1-E XTERNAL ,NBN New Devs,$656.68,,,,,,,,,,,,,,,,
Schokmans,Inv 2460,12/18/17,1/31/18,NBN Co,NBN A417,"MW21386 - 2PTH-05 - AYCA-3BBYF2 - 40-50 Union Rd, Penrith",NBN New Devs,"$1,126.02",,,,,,,,,,,,,,,,
Schokmans,Inv 2468,12/22/17,1/31/18,NBN Co,NBN A401,MW20777 - AYCA-46PUI1 -2HBD-21 - 724 Pittwater Rd Brookvale / Lakeview,NBN New Devs,"$1,612.32",,,,,,,,,,,,,,,,
Schokmans,Inv 2469,12/22/17,1/31/18,NBN Co,NBN A417,MW21505-AYCA-2AS459-2LID-05 -22-26 Ann Street Lidcombe,NBN New Devs,"$3,596.99",,,,,,,,,,,,,,,,
Schokmans,Inv 2470,12/22/17,1/31/18,NBN Co,NBN A417,"MW21540-2LIV-02- AYCA-3DOI9R 166/176-178 Terminus ST ,Liverpool ",NBN New Devs,"$1,325.00",,,,,,,,,,,,,,,,
Schokmans,Inv 2471,12/22/17,1/31/18,NBN Co,NBN A417,MW21384 - 2PEN-65  - AYCA-4LWMQ0 - 271 Dunmore Street - 1- EXTERNAL,NBN New Devs,"$3,121.35",,,,,,,,,,,,,,,,
Schokmans,Inv 2472,12/22/17,1/31/18,NBN Co,NBN A417,MW21026 - 2HOR-62 - AYCA-3TQB8K - MOUNT COLAH GARDENS - 2 - EXTERNAL,NBN New Devs,"$1,793.75",,,,,,,,,,,,,,,,
Schokmans,Inv 2473,12/22/17,1/31/18,NBN Co,NBN A417,MW21505-AYCA-2AS459-2LID-05 -22-26 Ann Street Lidcombe,NBN New Devs,"$5,715.64",,,,,,,,,,,,,,,,
Schokmans,Inv 2474,12/22/17,1/31/18,NBN Co,NBN A417,MW21120 - 2EDG-62 - AYCA-4GJD8J - 10 COURT ROAD - External,NBN New Devs,"$1,523.39",,,,,,,,,,,,,,,,
Schokmans,Inv 2475,12/22/17,1/31/18,NBN Co,NBN A417,MW21026 - 2HOR-62 - AYCA-3TQB8K - MOUNT COLAH GARDENS - 2 - EXTERNAL,NBN New Devs,"$1,126.02",,,,,,,,,,,,,,,,
Schokmans,Inv 2467,12/22/17,1/31/18,NBN Co,NBN A417,"MW21386 - 2PTH-05 - AYCA-3BBYF2 - 40-50 Union Rd, Penrith",NBN New Devs,"$1,495.75",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803726,1/11/18,2/28/18,NBN Co,NBN A417,"MW20686 - AYCA-1RBL6L - The North Village , Kellyville - 1",NBN New Devs,"$2,486.86",,,,,,,,,,,,,,,,
