,,,,,,,,,,,,
Cost,,,,,,,,,,,,
Sum of Debit,Column Labels,,,,,,,,,,,
Row Labels,(blank),Type,PE,PAY,INV,MJ,Jul-17,Aug-17,WE 13/8/2017,WE 20/8/2017,Grand Total,
Overhead,,,,,,," $	63,172.08 ", $	789.36 ,,," $	63,961.44 ",
(blank), $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	508.76 ," $	1,599.69 ", $	-   , $	-   ," $	2,108.45 ",
Overhead Materials,,,,,,," $	2,504.27 ",,,," $	2,504.27 ",
NBN A417 MDU DJC,,,,,,, $	33.63 ,,,, $	33.63 ,
NBN A417 MDU,,,,,,,,,,,,
Visionstream DJC,,,,,,,, $	92.03 ,,, $	92.03 ,
AARNet DJC Internals,,,,,,," $	2,362.50 "," $	1,452.23 ",,," $	3,814.73 ",
NBN A417 MDU DJC Internals,,,,,,," $	14,982.43 ",,,," $	14,982.43 ",
Overhead Vehicles,,,,,,," $	1,305.56 ",,,," $	1,305.56 ",
AARNet DJC ,,,,,,," $	7,897.60 ",,,," $	7,897.60 ",
Visionstream DJC Internals,,,,,,, $	693.33 ,,,, $	693.33 ,
AARNet DJC,,,,,,," $	3,970.83 ",,,," $	3,970.83 ",
NBN A401 Minor Works Credit,,,,,,,"-$	2,247.43 ","-$	13,228.89 ",,,"-$	15,476.32 ",
NBN A417 MDU Credit,,,,,,,-$	0.06 ,,,,-$	0.06 ,
NBN A401 New Devs Credit,,,,,,,-$	2.00 ,"-$	6,239.62 ",,,"-$	6,241.62 ",
NBN A401 New Devs DJC Internals,,,,,,, $	82.85 ,,,, $	82.85 ,
NBN A401 Minor Works DJC Internals,,,,,,," $	9,055.39 ",,,," $	9,055.39 ",
NBN A401 New Devs DJC,,,,,,," $	14,236.13 ", $	29.69 ,,," $	14,265.82 ",
NBN A401 New Devs Internals,,,,,,," $	5,514.46 ",,,," $	5,514.46 ",
NBN A401 New Devs,,,,,,,,,,,,
NBN A401 Minor Works,,,,,,,," $	1,396.00 ",,," $	1,396.00 ",
Grand Total, $	-   , $	-   , $	-   , $	-   , $	-   , $	-   ," $	124,070.34 ","-$	14,109.51 ", $	-   , $	-   ," $	109,960.83 ",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sum of Credit,Column Labels,,,,,,,,,,,
Row Labels,(blank),Type,PE,PAY,INV,MJ,Jul-17,Aug-17,WE 13/8/2017,WE 20/8/2017,Grand Total,
Overhead,,,,,,,,,,,,
(blank), $	0.01 , $	-   , $	0.01 ,,,,,,,, $	0.02 ,
Overhead Materials,,,,,,,,,,,,
NBN A417 MDU DJC,,,,,,,,,,,,
NBN A417 MDU,,,,,,,," $	2,575.95 ",,," $	2,575.95 ",
Visionstream DJC,,,,,,,,,,,,
AARNet DJC Internals,,,,,,,,,,,,
NBN A417 MDU DJC Internals,,,,,,,,,,,,
Overhead Vehicles,,,,,,,,,,,,
AARNet DJC ,,,,,,,,,,,,
Visionstream DJC Internals,,,,,,,,,,,,
AARNet DJC,,,,,,,,,,,,
NBN A401 Minor Works Credit,,,,,,,,,,,,
NBN A417 MDU Credit,,,,,,,,,,,,
NBN A401 New Devs Credit,,,,,,,,,,,,
NBN A401 New Devs DJC Internals,,,,,,,,,,,,
NBN A401 Minor Works DJC Internals,,,,,,,,,,,,
NBN A401 New Devs DJC,,,,,,,,,,,,
NBN A401 New Devs Internals,,,,,,,,,,,,
NBN A401 New Devs,,,,,,,," $	7,965.87 ",,," $	7,965.87 ",
NBN A401 Minor Works,,,,,,,,,,,,
Grand Total, $	0.01 , $	-   , $	0.01 ,,,,," $	10,541.82 ",,," $	10,541.84 ",