Request ID,SAM ID,Build Type,Type,"SOW 
Received
Date","NDD 
Submission Forecast Date","NDD 
Actual Submission Date","NDD 
Resubmission 
Date","NDD 
Status","NDD
Approved 
Date","10.1.1 GML Submission 
Date","PON Patching Request 
Date","PON SOW 
Received 
Date","DDD 
Submission Forecast Date","DDD 
Actual Submission Date","DDD 
Resubmission 
Date","DDD 
Status","DDD
Approved 
Date","LAAN
Submission
Date","HEC
Submission
Date","HEC
Approval
Date","LAAN
Start",DP Comments,NBN Comments
AYCA-3G1TZ6,2PYM-62,MDU Internal ,MDU,08/04/2019,,,,,,NA,,,,14/05/2019,20/05/2019,Approved,20/05/2019,,,,,"-8/04SOW received ,
-14/05 MDU Internal Design Submitted 
-20/05  DDD Feedback  received and Re-Submitted  and Approved",
AYCA-4TEWKF ,9BLC-22,MDU Internal ,MDU,08/04/2019,,,,,,NA,,,,15/05/2019,24/05/2019,Approved,25/05/2019,,,,,"-8/04SOW received 
-10/04 Internal MDU Design WIP
15/05 DDD submitted
-24/05 DDD Feedback received and Re submitted
-25/05 DDD approved",
AYCA-5NXLZB,2TGL-02,MDU Internal ,MDU,08/04/2019,,,,,,NA,,,,03/06/2019,,Submitted,,,,,,"-8/04SOW received ,
-14/05 RFI Sent to Atul 
-3/06 DDD Submitted 
",
AYCA-60KQLM,2HMK-20,B+E,MDU TFL,28/03/2019,4/4/19,4/4/19,,Submitted,,4/4/19,,,,26/04/2019,07/05/2019,Resubmitted,,NA,02/05/2019,21/05/2019,NA,"-29/03 NDD WIP , NDD ETA 4/04
-8/04 NDD Submitted
-16/04 DDD WIP
-26/04/2019(DDD) Submitted
-02/05 Heritage exemption documents wil be submitted today at Sydney Council
-7/05 GML and BOQ Resubmitted
-21/05 Heritage exemption approved.",
AYCA-5VXRM8,2MIR-25,B+E,MDU TFL,28/03/2019,4/8/19,,,RFI,,4/26/19,4/26/19,4/29/19,,26/04/2019,,Approved,01/05/2019,30/04/2019,NA,NA,15/05/2019,"-29/03 NDD WIP , NDD ETA 4/04
-03/04 RFI email sent to Malcolm/Atul
-23/04 RFI resolved 
-26/04 DDD Submitted
-30/04 CLAAN sent with a start date of 15/05
-1/05 DDD Approved",
AYCA-36XIQO,2KEL-07,D,SDU TFL,27/03/2019,4/8/19,,,Submitted,,4/15/19,,,,15/04/2019,,Approved,23/04/2019,16/04/2019,NA,NA,06/05/2019,"-29/03 NDD WIP ,NDD ETA 5/04
-10/04 DDD WIP, ETA 12/04
-15/04/2019 DDD Submitted
-16/04 CLAAN sent with a start date of 06 May
-23/04 DDD Approved",
AYCA-5EJRTN,2CAM-02,B+E,MDU TFL,27/02/2019,,3/15/19,,Submitted,,3/15/19,,,,26/03/2019,,Approved,16/04/2019,03/04/2019,NA,NA,18/04/2019,"-27/02 SOW  received 
-15/03 NDD pack Delivered
-26/03 DDD Delivered
-03/04  CLAAN sent with a start date of 18/04
-10/04 Waiting for NBN feedback on DDD",
AYCA-5IOF6P,2BAN-60,B+E,MDU TFL,27/02/2019,,3/7/19,,Submitted,,3/7/19,3/26/19,4/3/19,,29/03/2019,15/04/2019,Approved,16/04/2019,01/04/2019,NA,NA,16/04/2019,"-27/02 SOW  received 
-RFI raised to NBN on 04/03/ rfi resolved on 05/03 
NDD Pack submitted to NBN 7/03 , waiting for response
-29/03 DDD Delivered
-01/04 CLAAN sent with a start date of 16/04
-15/04 DDD resubmitted",
AYCA-5LZJ26,2BAN-70,B+E,MDU TFL,27/02/2019,,3/15/19,,Submitted,,3/15/19,,,,23/04/2019,,Approved,29/04/2019,15/04/2019,NA,NA,03/05/2019,"-26/02 SOW  received 
- 05/03 received new SOW.
-15/03 NDD Delivered 
-10/04 DDD WIP ETA 15/04
-15/04 CLAAN sent with a start date of 03/05.
-23/04 DDD Submitted
-29/04 DDD approved",
AYCA-4QNRBL,2KEL-03,B+E,MDU TFL,27/02/2019,,3/11/19,,Submitted,,3/11/19,,,,22/03/2019,,Approved,16/04/2019,29/03/2019,NA,NA,15/04/2019,"-27/02 SOW  received 
-11/03 NDD Submitted
-22/03 DDD Delivered
-29/03 CLAAN sent with a start date of 15/04
-10/04 Waiting for NBN feedback on DDD
-16/04 DDD Approved",
AYCA-4F75OS,2BLK-12,B+E,MDU TFL,27/02/2019,,3/11/19,,Submitted,,3/11/19,,,,22/03/2019,13/06/2019,Resubmitted,,01/04/2019,NA,NA,16/04/2019,"-27/02 SOW  received 
-11/03 NDD Delivered
-22/03 DDD Delivered
-01/04 CLAAN sent with a start date of 16/04
-12/06 DDD Feedback Received 
-13/06 DDD Re Submitted ",
AYCA-5XRS1Z,2DAP-02,B+E,MDU TFL,26/02/2019,,3/6/19,,Submitted,,3/6/19,4/18/19,4/24/19,,08/04/2019,,Fixing Defects,,09/04/2019,NA,NA,29/04/2019,"-26/02 SOW  received 
-8/04 DDD Submitted
-09/04 CLAAN sent with a start date of 29/04
-9/05 Feedback Received",
AYCA-609IUY,9BLC-20,B+E,MDU TFL,25/03/2019,4/8/19,,,Started,,4/11/19,,,,11/04/2019,,Resubmitted,,12/04/2019,NA,NA,02/05/2019,"-29/03 NDD WIP ,NDD ETA 5/04
-8/04 10.1.1 submitted
-11/04 DDD submitted
-12/04 CLAAN sent with a start date of 02/05
-16/04 10.1.1 Resent to malcolm
-16/05 DDD Resubmitted",
AYCA-5JO5XA,2BAN-70,B+E,MDU TFL,25/02/2019,4/5/19,,,Started,,1/05/20`19,,,,01/05/2019,03/01/2019,Approved,13/05/2019,06/05/2019,NA,NA,21/05/2019,"-29/03 NDD WIP , ETA 5/04
-16/04 10.1.1 submitted
-1/05/2019 DDD Submitted
-13/05 DDD Approved",
AYCA-5QX4TH,2EAS-60,B+E,MDU TFL,22/12/2018,4/8/19,,,Submitted,,5/9/19,,,,09/05/2019,30/05/2019,Approved,31/05/2019,NA,08/05/2019,,NA,"-3/04 RFI Raised
-9/05 DDD Submitted
-21/05 Defects Received
-30/05 DDD Resubmitted",
AYCA-4RS6QG,2KNS-03,B+E,MDU TFL,21/12/2018,,3/8/19,,Submitted,,3/8/19,4/18/19,4/24/19,,11/04/2019,,Submitted,,NA,02/05/2019,10/05/2019,NA,"-21/12 SOW  received 
-21/01 Emrul/Malcolm advised not submit NDD and DDD until 1st NBN tranformation Gets Approved 
-8/02 Query Raised about missing Pit and Pipe N/w in DPP - NDD complete waiting on NBN response nbn provide the dpp plan on 14/02 need to start design atchut completed NDD,
-8/03 NDD Delivered 
-2/04 Waiting for NBN feedback on NDD.
-11/04 DDD Submitted
-02/05 Heritage exemption documents wil be submitted today at Sydney Council",
AYCA-53IJ1X,2PIT-01,D,SDU,21/12/2018,,2/15/19,,Submitted,,2/15/19,,,,27/03/2019,,Approved,15/04/2019,01/04/2019,NA,NA,16/04/2019,"NDD approved on 21/02,DDD WIP
-27/03/2019 DDD Submitted
-01/04 CLAAN sent with a start date of 16/04
-10/04 Waiting for NBN feedback on DDD
-15/04 DDD Approved ",
AYCA-5MELWX,2BOT-22,B+E,MDU TFL,21/03/2019,,,,RFI,,4/26/19,4/26/19,4/30/19,,26/04/2019,21/05/2019,Approved,22/05/2019,01/05/2019,NA,NA,16/05/2019,"-29/03 NDD WIP ,Query Sent to NBN regarding DWG files 
-16/04 DDD WIP
-26/04 DDD submitted
-01/05 CLAAN sent with a start date of 16/05
-21/05 DDD resubmitted because of Dependency with 4VAW65
-23/05 Geeta sent a developers plano change Pit and Pipe N/W in PNI ",
AYCA-4VAW65,2BOT-22,B+E,MDU TFL,21/03/2019,,,,RFI,,4/26/19,4/26/19,4/30/19,,26/04/2019,21/05/2019,Resubmitted,,01/05/2019,NA,NA,16/05/2019,"-29/03 NDD WIP ,Query Sent to NBN regarding DWG files 
-16/04 DDD WIP
-26/04 DDD Submitted 
-01/05 CLAAN sent with a start date of 16/05
-1/05 Feedback received 
-14/05 RFI sent to Geeta, Response received
-21/05 DDD resubmitted",
AYCA-5JGC8A,9SCU-23,B+E,MDU TFL,02/04/2019,4/8/19,,,RFI,,,,,,12/06/2019,,Submitted,,13/06/2019,NA,NA,28/06/2019,"-2/04 RFI sent
-7/05 RFI Follow up done
-28/05 RFI follow up email sent to Lakshman 
-29/05 RFI Respo Received with new SOW ,Scope change to copper from Fiber
-12/06 DDD Submitted
-13/06 CLAAN sent with a start date of 28/06",
AYCA-5W2PN2,9BON-03,B+E,MDU TFL,20/03/2019,,4/2/19,,Submitted,,4/2/19,,,,10/04/2019,,Submitted,,11/04/2019,NA,NA,01/05/2019,"-29/03 NDD WIP 
-2/04 NDD Delivered
-10/04 DDD Delivered
-11/04 CLAAN sent with a start date of 01/05",
AYCA-5QVLJR,2PAR-60,B+E,MDU TFL,20/03/2019,4/8/19,,,Started,,5/15/19,,,,15/05/2019,,Approved,26/05/2019,14/05/2019,NA,NA,29/05/2019,"-29/03 NDD WIP ,ETA 3/04
-14/05 DDD Submitted
-26/05/2019 DDD Approved",
AYCA-4YTCRX,2HOR-24,B+E,MDU TFL,20/03/2019,,3/29/19,,Approved,,3/29/19,4/18/19,4/24/19,,15/04/2019,16/04/2019,Approved,17/05/2019,23/04/2019,NA,NA,09/05/2019,"-29/03 NDD Delivered, Waiting for NDD Feedback
-10/04 NDD Approved
-15/04 DDD Submitted
-16/04 DDD Resubmitted
-23/04 CLAAN sent with a start date of 09/05
-17/05 V2.0 submitted and Approved",
AYCA-5V4B6P,2COR-09,B+E,MDU TFL,15/02/2019,,2/26/19,,Submitted,,2/26/19,3/25/19,3/27/19,,22/03/2019,30/04/2019,Approved,14/05/2019,27/03/2019,NA,NA,11/04/2019,"-15/02 SOW  received 
-18/02  Allocated the work to , NDD received from  on 22/02,NDD Pack submitted to NBN 26/02 , received feedback on 06/03
-22/03 DDD Delivered
-27/03 CLAAN sent with a start date of 11/04
-10/04 Waiting for nbn feedback on DDD. 
-16/04 Waiting for nbn feedback on DDD. 
-17/04 FEEDBACK RECEIVED
-30/04 DDD RESUB
-13/05 Lakshman Replied to remve 2COR-09-BJL-301  and continue construction 
-14/05 Discussed with Lakshma and He's Ok with the BJL ",
AYCA-5NKJJY,2CRO-24,B+E,MDU TFL,15/02/2019,,2/26/19,3/7/19,Submitted,,2/26/19,3/25/19,3/27/19,,04/04/2019,,Approved,09/04/2019,05/04/2019,NA,NA,23/04/2019,"-15/02 SOW  received 
-18/02  Allocated the work to ,NDD received from  on 25/02,NDD Pack submitted to NBN 26/02 ,received feedback on 06/03,resubmitted the NDD on 07/03/ waiting for NBN response.
-4/04 DDD Deliveerd
-05/04 CLAAN sent, start date of 23/04
-09/04 DDD Approved.",
AYCA-5L1XWG,2LIV-67,B+E,MDU TFL,15/02/2019,,3/14/19,,Approved,,3/14/19,,,,27/03/2019,,Submitted,,29/03/2019,NA,NA,15/04/2019,"-15/02 SOW  received 
-18/02  Allocated the work to 
-12/03 NDD feedback received 
-14/03 Revised NDD delivered
-19/03 NDD Approved
-27/03 DDD Delivered
-29/03 CLAAN sent with a start date of 15/04
",
AYCA-4KZ9TH,2HOR-62,B+E,MDU TFL,15/02/2019,,2/27/19,,Submitted,,2/27/19,4/18/19,,,09/04/2019,,Submitted,,11/04/2019,NA,NA,01/05/2019,"-15/02 SOW  received 
NDD Pack submitted to NBN 27/02 , waiting for response
-09/04 DDD submitted
-11/04 CLAAN sent with a start date of 01/05",
AYCA-4XC850,2PTH-05,B+E,MDU TFL,15/02/2019,,2/27/19,,Submitted,,2/27/19,3/26/19,3/29/19,,26/03/2019,,Approved,09/04/2019,03/04/2019,NA,NA,18/04/2019,"-15/02 SOW  received 
NDD Pack submitted to NBN 27/02 , waiting for response
-26/03 DDD Submitted
-03/04  CLAAN sent with a start date of 18/04
-09/04 DDD Approved",
AYCA-5G1AHP,2RED-01,B+E,MDU TFL,15/02/2019,,3/7/19,,Submitted,,3/7/19,3/25/19,,,22/03/2019,,Approved,16/04/2019,29/03/2019,NA,NA,15/04/2019,"-15/02 SOW  received 
-NDD Pack submitted to NBN 7/03 , waiting for response
-22/03 DDD Delivered
-29/03 CLAAN sent with a start date of 15/04
-10/04 Waiting for NBN feedback on DDD.
-15/04 Feedback regarding GML ,16/04 GML Submitted
-16/04 DDD Approved",
AYCA-52CPTI,2HOR-63,B+E,MDU TFL,15/02/2019,,2/26/19,,Submitted,,2/26/19,3/25/19,3/27/19,,10/04/2019,,Approved,26/05/2019,11/04/2019,NA,NA,01/05/2019,"-15/02 SOW  received 
-22/02  Allocated the work to ,NDD received from  on 25/02, NDD Pack submitted to NBN 26/02 , waiting for response
-10/04 DDD submitted 
-11/04 CLAAN sent with a start date of 01/05
-26/05 DDD Approved , 10.1.1 and 10.1.3 Submitted
",
AYCA-5T1531,2NEW-60,B+E,MDU TFL,15/02/2019,,3/7/19,,Submitted,,3/7/19,,,,25/03/2019,,Approved,14/05/2019,27/03/2019,NA,NA,11/04/2019,"-15/02 SOW  received 
-22/02  Allocated the work to 
NDD Pack submitted to NBN 7/03 , waiting for response
-25/03 DDD Submitted
-27/03 CLAAN sent with a start date of 11/04
-2/05 Feedback Received 
14/05 RFI  email sent to Atul  regarding accepted pathway",
AYCA-5O866G,9CVI-22,B+E,MDU TFL,01/03/2019,4/8/19,,,RFI,,5/24/19,,,,24/05/2019,,Submitted,,28/05/2019,NA,NA,12/06/2019,"-29/03 NDD WIP ,NDD ETA 8/04
-08/04 10.1.1 submitted
-16/04 10.1.1 Resent
-26/04  RFI Raised .
-14/05 Follow up email sent to Lakshman,RFI  Respo Received
-24/05 DDD Submitted
-28/05 CLAAN sent with a start date of 12/06",
AYCA-5TDQG3,2BAN-70,B+E,MDU TFL,10/04/2019,,,,,,4/17/19,,,,17/04/2019,,Approved,29/04/2019,18/04/2019,NA,NA,08/05/2019,"-12/04 10.1.1. Submitted 
17/04 DDD submitted
18/04 CLAAN sent with a start date of 08/05
-29/04 DDD Approved",
AYCA-4Z5838,2BRG-01,D,SDU,04/03/2019,,3/15/19,,Submitted,,3/15/19,,,,29/03/2019,,Approved,07/05/2019,03/04/2019,NA,NA,18/04/2019,"-04/03 SOW  received 
-06/03  Allocated the work to 
-15/03 NDD pack submitted
-29/03 DDD Submitted
-03/04  CLAAN sent with a start date of 18/04
-10/04 Waiting for NBN feedback on DDD 
-16/04 Waiting for NBN feedback on DDD 
-7/05 DDD Approved",
AYCA-62BY2V,2LIV-03,B+E,MDU TFL,30/05/2019,,,,,,,,,,10/06/2019,,Submitted,,11/06/2019,NA,NA,26/06/2019,"-11/06 DDD Submitted; CLAAN sent, start date 26/06",
AYCA-61I1YF,2DBB-02,B+E,MDU TFL,21/05/2019,,,,,,,,,,11/06/2019,,Submitted,,,,,,-11/06 DDD  Submitted,
AYCA-603NCA,2BLK-07,B+E,MDU TFL,17/05/2019,,,,,,,,,,05/06/2019,,Approved,10/06/2019,12/06/2019,NA,NA,27/06/2019,"-5/06 DDD Submitted
-10/06 DDD Approved
-12/06 CLAAN sent. Start date 27/06",
AYCA-64LL1W,2CMO-24,B+E,MDU TFL,17/05/2019,,,,,,,,,,03/06/2019,,Submitted,,04/06/2019,NA,NA,19/06/2019,"-3/06 DDD Submitted
-04/06 CLAAN sent, start date 19/06",
AYCA-628LT8,2LIV-02,B+E,MDU TFL,17/05/2019,,,,,,,,,,11/06/2019,,Submitted,,,,,,-11/06 DDD Submitted,
AYCA-5SSUZP,9CRC-06,B+E,MDU TFL,17/05/2019,,,,,,,,,,07/06/2019,,Submitted,,13/06/2019,NA,NA,28/06/2019,"-7/06 DDD Delivered
-13/06 CLAAN sent with a start date of 28/06",
AYCA-58GJIP,2GRK-02,B+E,MDU TFL,17/05/2019,,,,,,,,,,03/06/2019,,Submitted,,06/06/2019,NA,NA,21/06/2019,"-3/06 DDD Submitted
-06/06 CLAAN sent, start date 21/06",
AYCA-5J56F6,2MUL-01,B+E,MDU TFL,17/05/2019,,,,,,,,,,06/06/2019,,Started,,,,,,-6/06 DDD Submitted,
AYCA-63BVQ4,2CRM-66,B+E,MDU TFL,16/05/2019,,,,,,,,,,27/05/2019,,Submitted,,28/05/2019,NA,NA,12/06/2019,"-27/05 DDD Submitted
-28/05 CLAAN sent with a start date of 12/06",
AYCA-635L74,2BTH-02,MDU Internal,MDU,16/05/2019,,,,,,,,,,13/06/2019,,Submitted,,,,,,"RFI 22/05
-4/06 RFI follow up email sent 
-13/06 WIP as MPS noticed in PNI
-13/06 DDD Submitted",
AYCA-61I1YF,2DBB-02,MDU Internal,MDU,16/05/2019,,,,,,,,,,22/05/2019,,Approved,24/05/2019,,,,,"-22/05 FDD Submitted
-24/05 DDD Conditionally Approved",
AYCA-57OBUB,2RAM-63,MDU Internal,MDU,16/05/2019,,,,,,,,,,23/05/2019,,Approved,11/06/2019,,,,,"-23/05 FDD Submitted
'-11/06 DDD Approved.",
AYCA-4YYU5H,9BLC-03,MDU Internal,MDU,16/05/2019,,,,,,,,,,04/06/2019,,Approved,12/06/2019,,,,,"RFI 23/05
-27/05 RFI Response received 
-4/06 DDD Submitted
-12/06 Approved",
AYCA-5ZQAT3,2COO-65,MDU Internal,MDU,10/05/2019,,,,,,,,,,21/05/2019,,Approved,24/05/2019,,,,,"-21/05 DDD Submitted
-24/05 DDD Approved ",
AYCA-5COZYX,2NLT-05,MDU Internal,MDU,10/05/2019,,,,,,,,,,15/05/2019,20/05/2019,Resubmitted,20/05/2019,,,,,"- 15/04 Internal MDU design Submitted 
-17/05 Defects received
-20/05 DDD Resubmitted and Approved",
AYCA-5I600J,2PET-65,MDU Internal,MDU,10/05/2019,,,,,,,,,,24/05/2019,,Submitted,,,,,,-24/05 DDD Submitted,
AYCA-5Z6KY4,2LJT-09,MDU Internal,MDU,10/05/2019,,,,,,,,,,21/05/2019,,Submitted,,,,,,-21/05 DDD Submitted,
AYCA-62FMLI,2CFS-06,MDU Internal ,MDU,09/05/2019,,,,,,,,,,15/05/2019,,Approved,17/05/2019,,,,,-15/05 MDU internal design Submitted,
AYCA-62FMLI,2CFS-06,B+E,MDU TFL,09/05/2019,,,,,,,,,,27/05/2019,,Approved,11/06/2019,03/06/2019,NA,NA,18/06/2019,"-28/05 DDD Submitted
-03/06 CLAAN sent with a start date of 18/06
-11/06 DDD Approved",
AYCA-62WIE0,2MIR-25,MDU Internal,MDU,09/05/2019,,,,,,,,,,23/05/2019,,Approved,29/05/2019,,,,05/06/2019,"17/05 DDD ETA 23/05 
21/05 CLAAN start date of 05/06
-28/05 DDD Submitted
-29/05 DDD approved",
AYCA-603NCA,2BLK-07,MDU Internal,MDU,09/05/2019,,,,,,,,,,16/05/2019,,Approved,,,,,,"-16/05 DDD Submitted
-23/05 DDD Approved",
AYCA-375QYU,2ROC-22,MDU Internal ,MDU,07/05/2019,NA,NA,NA,NA,NA,NA,NA,NA,,05/06/2019,,Approved,,,,,,"8/05 RFI Raised
'-3/06 RFI Raised again 
-5/06 DDD Submitted
-7/06 Approved",
AYCA-3O1ZGP,2GBE-62,MDU Internal ,MDU,07/05/2019,,,,,,,,,,28/05/2019,05/06/2019,Resubmitted,,,,,,"-14/05 MDU Iternal Design WIP 
-21/05 RFI raised
-14/05 RFI Respo received
-28/05 DDD Submitted 
-5/06 Defect Received 
-5/06 DDD Re-submitted",
AYCA-4HLUIU,2PYM-62,MDU Internal ,MDU,01/05/2019,,,,,,,,,,13/05/2019,,Approved,14/05/2019,,,,,-13/05 MDU Internal Design Submitted,
AYCA-5IS7AL,2BLN-22,B+E,MDU TFL,01/05/2019,,,,,,5/27/19,,,,27/05/2019,,Submitted,,27/05/2019,NA,NA,11/06/2019,-27/05 DDD Submitted; CLAAN sent with a start date of 11-06,
AYCA-5XSYES,2BOT-01,MDU Internal,MDU,30/04/2019,,,,,,,,,,20/05/2019,,Approved,,,,,,"-8/05 RFI Raised
-13/05 RFI Respose received
-20/05 DDD Submitted
-21/05 Feedback Received
-22/05 Approved
",
AYCA-5HBFXB,2ORG-02,B+E,MDU TFL,30/04/2019,,,,,,,,,,12/06/2019,,Submitted,,,,,,"-30/05 RFI Sent to Lakshman
-12/06 DDD Submitted",
AYCA-63GR5P,2SHA-64,B+E,MDU TFL,30/04/2019,,,,,,5/27/19,,,,27/05/2019,,Submitted,,28/05/2019,NA,NA,12/06/2019,"-10/05 RFI sent to Alan/Solmaz
-14/05 Solmaz Confirmed this is a TFL only Design and Construct 
-27/05 DDD Submitted 
-28/05 CLAAN sent with a start date of 12/06",
AYCA-5XSYES,2BOT-01,B+E,MDU TFL,18/04/2019,,,,,,5/3/19,,,,07/05/2019,,Approved,22/05/2019,17/05/2019,NA,NA,03/06/2019,"-3/05 10.1.1 Submitted
-7/05/2019 DDD Submitted
-22/05 DDD Approved",
AYCA-62WIE0,2MIR-25,B+E,MDU TFL,18/04/2019,5/23/19,`,,,,5/20/19,,,,20/05/2019,,Approved,21/05/2019,21/05/2019,NA,NA,05/06/2019,"17/05 DDD ETA 23/05 
-20/05 DDD submitted
-21/05 DDD Approved",
AYCA-4W57Z3,2BAN-64,B+E,MDU TFL,04/04/2019,,,,,,5/3/19,,,,03/05/2019,,Approved,,17/05/2019,,,03/06/2019,"-4/04 DDD ASSIGNED TO 
-16/04 DDD WIP
-13/05 DDD Approved",
AYCA-5KAIAA,2TAM-01,D,MDU TFL,04/04/2019,,,,,,NA,,,,22/05/2019,05/06/2019,Resubmitted,,,,,,"16/04 - DDD WIP
-22/05 DDD submitted
-24/05 Feedback Received(ML Project)
-5/06 DDD Resubmitted",
AYCA-5ZUB5A,2ASH-62,B+E,MDU TFL,29/03/2019,,3/29/19,,Submitted,,3/29/19,4/18/19,4/24/19,,16/04/2019,,Approved,17/04/2019,18/04/2019,NA,NA,08/05/2019,"-29/03 NDD Delivered 
-1/04 MDU Internal Design Submitted
-9/04 MDU internal design Approved DDD WIP
-16/04 DDD Submitted
-18/04 CLAAN sent with a start date of 08/05",
AYCA-5ZUB5A,2ASH-62,MDU Internal,MDU,29/03/2019,,3/29/19,,,,NA,4/16/19,4/24/19,,16/04/2019,,Approved,17/04/2019,18/04/2019,NA,NA,08/05/2019,"-29/03 NDD Delivered 
-1/04 MDU Internal Design Submitted
-9/04 MDU internal design Approved DDD WIP
-16/04 DDD Submitted
-18/04 CLAAN sent with a start date of 08/05",
AYCA-4F1YQT,2ROU-03,B+D,SDU TFL,21/12/2018,,1/18/19,,Approved,,1/18/19,,,,21/01/2019,,Approved,23/01/2019,24/01/2019,NA,NA,11/02/2019,"- 21/12 NDD pack received
-18/01 NDD Delievered, DD WIP , ETA 21/01
-21/01- DDD Delivered 
-21/01 NDD Approved 
-23/01 -DDD Approved 
-24/01 CLAAN sent with a start date of 11/02",
AYCA-58NL54,2KRG-03,D,SDU TFL,21/12/2018,,1/23/19,,Approved,,1/23/19,,,,19/02/2019,07/03/2019,Approved,07/03/2019,29/03/2019,NA,NA,15/04/2019,"- 21/12 NDD pack received
-18/01  DDD and NDD  WIP ,  NDD ETA 21/01,DDD ETA 22/01
-23/01 NDD Submitted,DDD submitted on 19/02/2019, Objection received from NBN on 21/02 ,DDD aproved 07/03
-29/03 CLAAN sent with a start date of 15/04",
AYCA-4N777S,2COO-64,MDU Internal,MDU,05/06/2019,,,,,,,,,,31/05/2019,,Approved,11/06/2019,,,,,"-31/05 DDD Submitted 
-11/06 DDD Approved",
AYCA-5HNMQ4,2CRO-26,MDU Internal,MDU,31/05/2019,,,,,,,,,13/06/2019,13/06/2019,,Submitted,,,,,,"-7/06 DDD WIP
-13/06 DDD Submitted",
AYCA-52CPTI,2HOR-63,MDU Internal,MDU,31/05/2019,,,,,,,,,,11/06/2019,,Submitted,,,,,,-11/06 DDD Submitted ,
AYCA-4F75OS,2BLK-12,MDU Internal,MDU,31/05/2019,,,,,,,,,,06/06/2019,,Submitted,,,,,,-6/06 DDD Submitted,
AYCA-4WQI7G,2HOM-03,MDU Internal,MDU,31/05/2019,,,,,,,,,12/06/2019,12/06/2019,,Submitted,,,,,,-12/06 DDD Submitted,
AYCA-5T02VH,2MAI-03,MDU Internal,MDU,,,,,,,,,,,05/06/2019,11/06/2019,Approved,,,,,,"-5/06 DDD Submitted
-11/06 DDD Approved",
AYCA-49ZS3V,2CBT-02,MDU Internal ,MDU,31/05/2019,,,,,,,,,,07/06/2019,,Submitted,,,,,,-7/06 DDD Submitted,
AYCA-296ZMA,2STL-61,MDU Internal,MDU,29/05/2019,,,,,,,,,,05/06/2019,06/06/2019,Approved,,,,,,"-5/06 DDD Submitted
-5/06 DDD Feedback Received 
-6/06 DDD Resubmitted
-6/06 DDD Approved",
AYCA-66OT2I,2PRA-20,MDU Internal,MDU,05/06/2019,,,,,,,,,13/06/2019,12/06/2019,,Submitted,,,,,,-12/06  DDD Submitted,
AYCA-5T6RSW,2GLB-04,MDU Internal,MDU,05/06/2019,,,,,,,,,14/06/2019,14/06/2019,,Submitted,,,,,,"-11/06  DDD WIP
-12/06 RFI Sent to Atul
-14/06 DDD Submitted",
AYCA-55SG2M,2KCL-02,MDU Internal,MDU,07/06/2019,,,,,,,,,21/06/2019,,,RFI,,,,,,"-11/06  DDD WIP
-12/06 RFI Sent to nbn",
AYCA-5GMMK0,2NWR-03,B+E,MDU TFL,28/05/2019,,,,,,,,,,12/06/2019,,Submitted,,,,,,-12/06  DDD Submitted,
AYCA-5MELWX,2BOT-22,MDU Internal,MDU,,,,,,,,,,,14/06/2019,,Submitted,,,,,,"-14/06 SOW Recevied  and DDD Submitted
",
AYCA-64LL1W,2CMO-24,MDU Internal,MDU,,,,,,,,,,17/06/2019,,,Started,,,,,,-14/06 SOW Recevied ,
AYCA-62BY2V,2LIV-03,MDU Internal,MDU,,,,,,,,,,18/06/2019,,,Started,,,,,,-14/06 SOW Recevied ,
AYCA-5OBD4G,9MNK-03,MDU Internal,MDU,,,,,,,,,,19/06/2019,,,Started,,,,,,-14/06 SOW Recevied ,