RequestID,Application Name,,,
AYCA-1XN8L5,"9 Affleck Circuit, 9 Affleck Circuit, NSW 2155",,,
AYCA-21PVTM,5 Second Avenue,,,
AYCA-24QAXK,"10 Martin Avenue, Arncliffe",,,
AYCA-26KP9Q,Caddies Boulevarde and White Hart Drive,,,
AYCA-2HEWWI,"337-339 Beamish Street, Campsie, NSW 2194 ",,,
AYCA-2I98H3,113-117A Wigram St23-29 Hassall St ,,,
AYCA-2LCFXK,"Skyview - 1 - 248-252 Liverpool Road, Enfield",,,
AYCA-2M3M8J,"72-84 Empire Circuit, Penrith, NSW 2750",,,
AYCA-2Q0B3G," 148-150 Great Western Hwy, Westmead, NSW, 2145",,,
AYCA-2RG791,"15-19 Toongabbie Rd , Toongabbie, NSW, 2146 - Mixed used",,,
AYCA-2T05DV,752 George St South Windsor NSW 2756,,,
AYCA-2V9V2D,"2 Cowan Road & 540A-542 Pacific Highway, Mount Colah, 2079",,,
AYCA-2XJBL7,3 Olympic Blvd Sydney Olympic Park ,,,
AYCA-30GQWB,"16-20 Withers Rd, Kellyville, NSW- 2155",,,
AYCA-31DCKF,"18-20 Neild Avenue, Darlinghurst",,,
AYCA-33L9HP,Restwell & Leonard St,,,
AYCA-34MTV2,"133 Parramatta Rd, Homebush, NSW, 2140",,,
AYCA-35DF0W,1A & 1B President Road,,,
AYCA-35V4R1,"208-214 Parramatta Rd, Homebush, NSW 2140",,,
AYCA-397TA7,"6-8 Painters Lane, Terrigal",,,
AYCA-39AB50,"JAAN – 1
12-14 Bouvardia St",,,
AYCA-3AVVT5,"70 seventeenth Avenue, Austral, NSW 2179",,,
AYCA-3CIGB0,"1-3 Balmoral St, Waitara, NSW 2077",,,
AYCA-3D0J11,"15-21 Willis St, Wolli Creek",,,
AYCA-3E5O97,Hancy - 85-89 Samantha Riley Drive,,,
AYCA-3G1TZ6,"9-17 Eastern Rd, Turramurra, NSW 2074",,,
AYCA-3JJIX9,"13-21 University Rd and 1-5 Pinnacle St, Miranda, NSW, 2228",,,
AYCA-3NFID7,Tench Ave Jamisontown – 1,,,
AYCA-3O1ZGP,"4-6 Elger St, Glebe, NSW 2037",,,
AYCA-3O2CEB,"5 Elger St, Glebe, NSW- 2037",,,
AYCA-3S7B4B,University of Technology Sydney,,,
AYCA-413Z64,"2B Darcy Road, Westmead",,,
AYCA-41DSOU,"38 Hezlett Road, Kellyville, NSW- 2155",,,
AYCA-41DY76,38 Hezlett Road Kellyville NSW,,,
AYCA-42HX6R,"34-42 Spring St, Bondi Junction, NSW2022",,,
AYCA-42N8QF,38 Macklin Street,,,
AYCA-43APKG,"6-14 Cosgrove Road, Strathfield, NSW 2136",,,
AYCA-44H3AU,13 Marshall Avenue St Leonards NSW 2065,,,
AYCA-44MH0G,133-137 Bowden Street,,,
AYCA-45LS90,"8 Withers Rd, Kellyville, NSW- 2155",,,
AYCA-45U68U,"5 CULLEN AV, JORDAN SPRINGS, NSW, 2747",,,
AYCA-468RZY,23 Railway Parade,,,
AYCA-468RZY,23 Railway Parade- Internals,,,
AYCA-476RM9,87-91 Campbell Street Liverpool,,,
AYCA-47OO3O,188 Moore Street,,,
AYCA-47STWW," 130 Elizabeth St, Sydney, NSW 2000",,,
AYCA-48280D,906 Bourke Street - THE RESERVE,,,
AYCA-48HHL8,"22 University Rd & 660-664 Kingsway, Miranda",,,
AYCA-48OYT0,240 New South Head Road Edgecliff NSW 2027,,,
AYCA-48S696,3-7 Wallace Street,,,
AYCA-49OZC4,257 Oxford St – 1,,,
AYCA-4BA1DQ,"3 Rowe Drive Potts Hill, NSW 2143",,,
AYCA-4BBYMK,"184 & 186 Old Pitt Town Rd Box Hill, NSW 2765",,,
AYCA-4BC75L,"Fairwater Boulevarde, Blacktown",,,
AYCA-4C0Z5Y, Hamptons - Rose Bay - 1 ,,,
AYCA-4CG9U4,"Dunning Avenue, Roseberry",,,
AYCA-4DBFGM,"87 Parramatta Rd, Camperdown, NSW 2050",,,
AYCA-4DQ6PX,645 Cobbitty Road - 3,,,
AYCA-4DQ9I8,645 Cobbitty Road - 2,,,
AYCA-4EITU0,The Pinnacle - 100 Castlereagh Street,,,
AYCA-4EZRCH,"1-3 Higherdale Avenue, Miranda",,,
AYCA-4F75OS,"66-68 Cambridge St, Blacktown, Blacktown 2148 ",,,
AYCA-4JM0L9,CINQUE - 50-52 East St,,,
AYCA-4KBL5R,14-18 Primrose Ave & 27-29 Roseberry Ave Rosberry NSW 2018,,,
AYCA-4KKMW0,"55 Foxall Road, Kellyville, NSW- 2155",,,
AYCA-4KNB05,"20 Myrtle St, Teralba, NSW- 2284 ",,,
AYCA-4KZ476,38-40 Doonmore St - Penrith 1,,,
AYCA-4L1IJG,"19 Gregory St South West Rocks, NSW 2431",,,
AYCA-4LISRC,"62 Jamboree Avenue, Leppington, NSW 2179",,,
AYCA-4LM7HH,590-602 New Canterbury Rd,,,
AYCA-4LT337,"457-463 Victoria Street, Wetherill Park",,,
AYCA-4LVG38,"9-11 Edgeworth Place, Cartwright, NSW 2168",,,
AYCA-4M02LB,401-405 Illawarra Road,,,
AYCA-4MFJ6I,"65 Victoria Street Coffs Harbour, NSW, 2450",,,
AYCA-4ND19Q,Chapel Street Rockdale - 1,,,
AYCA-4NNOGX,240-250 Great Western Hwy Kingswood NSW 2747,,,
AYCA-4NOC4P,"40 Cawarra Road, Caringbah, NSW, 2229",,,
AYCA-4O03IQ,17 Ryan Street,,,
AYCA-4O03IQ,17 Ryan Street,,,
AYCA-4OQ160,"3 Ocean Ridge Terrace, Port Macquarie NSW 2444",,,
AYCA-4P3YPZ,"107 Chapel Road South, Bankstown,NSW 2200",,,
AYCA-4PIIN5,"101 Church Street (dependent - require 4 Junction St QUBE), Ryde",,,
AYCA-4PPBEB,"8 Sherbrooke Rd, West Ryde, NSW",,,
AYCA-4PQO3D,"12/6 Maida Road, Epping",,,
AYCA-4PRYRR,"161 - 163 Great Western Hwy, Mays Hill, NSW 2145",,,
AYCA-4Q27NU,"50 Raby Rd, Gledswood Hills, NSW- 2557",,,
AYCA-4QHVO8,"13-15 Pacific Hwy, Gateshead",,,
AYCA-4QID92,"153-165 Brougham St, Woolloomooloo",,,
AYCA-4QNRBL,"822 Windsor Road Rouse Hill, NSW 2155 ",,,
AYCA-4R1C1M,"William Street, Riverstone",,,
AYCA-4R1E3Q,144-148 High Street & 35-37 Barber Avenue,,,
AYCA-4RB8MD,2 Clarke St,,,
AYCA-4RJS2D,"5 Edge St, Boolaroo, NSW- 2284",,,
AYCA-4RS6QG,"31 William Street Alexandria, NSW 2015",,,
AYCA-4SBJVB," 9-11 SWINSON ROAD BLACKTOWN, NSW 2148",,,
AYCA-4SM3QD,Melrose St and Belmore Road (Lorn 6 lots),,,
AYCA-4SRFAN,"ALDI Store Development, Balgowlah",,,
AYCA-4SRFAN,"ALDI Store Development, Balgowlah - INTERNAL",,,
AYCA-4T7JU2,"13 Dudley Avenue, Caringbah South",,,
AYCA-4T8B52,"3 Edwards Road, Box Hill, NSW- 2765",,,
AYCA-4UE5JN,46-48 Beaumont St,,,
AYCA-4ULUDH,"5-7 Higherdale Ave., Miranda",,,
AYCA-4UMUPA,"21 Fairway Drive, Kellyville",,,
AYCA-4VFYJV,"27-37 Percy St, Bankstown",,,
AYCA-4VH4MG,"36 Barber Ave, Penrith, NSW- 2750",,,
AYCA-4VJFPP,19-21 Eve Street,,,
AYCA-4VSW7K,"10-12 Vista St, Penrith, NSW- 2750",,,
AYCA-4W3F0S,"51-53 Foxall Road, Kellyville",,,
AYCA-4W57Z3,"11-17 Cross St Bankstown, NSW 2200",,,
AYCA-4W844H,"18A Grey Gum Rd, Denman, NSW 2328",,,
AYCA-4WLRNG,"51-53 Foxall road,Kellyville NSW 2155",,,
AYCA-4WQIL0,"13-15 Vista St, Penrith, NSW 2750 ",,,
AYCA-4X6TWU,43-47 Harrow Road - Omar Mosque - EXTERNAL,,,
AYCA-4X6TWU,43-47 Harrow Road - Omar Mosque - INTERNAL,,,
AYCA-4XC850,"50-54 Rodley Ave, Penrith, NSW 2750",,,
AYCA-4XR9F8,"320 Annangrove Rd, Rouse Hill, NSW- 2155",,,
AYCA-4YHOA0,"8-12 Robilliard St, Mays Hill, NSW 2145 ",,,
AYCA-4YJULB,479 Henry Lawson Drive - INTERNAL,,,
AYCA-4Z4FSB,Mainfreight Logistics - 36B Kookaburra Rd N,,,
AYCA-4Z6R8L,"148-160 King St, Sydney, NSW- 2000",,,
AYCA-4Z992M,2A Napier St and 17 Blue Hills Ave Goonellabah,,,
AYCA-50FP2M,d,,,
AYCA-51V8JL,11 Thomas Mitchell Drive Muswellbrook NSW 2333,,,
AYCA-52OEM0,"33 Darley Street East, Mona Vale",,,
AYCA-52UVXU," The Christian, Strathfield South",,,
AYCA-52VCLT,Annandale Place - 1 -,,,
AYCA-52ZO0L,32 Norval Street - EXTERNAL,,,
AYCA-52ZO0L,32 Norval Street - INTERNAL,,,
AYCA-54N6L7,"104-108 Bridge Road, Westmead, NSW 2145",,,
AYCA-54OULE,"71 Hill Rd, Lurnea",,,
AYCA-54WJL3," Andrews Road , Cranebrook, NSW, 2749",,,
AYCA-5576QH,"Ghersi Avenue, Wamberal",,,
AYCA-55AQIZ,"3 Mungo Scott Place, Summer Hill, NSW 2130",,,
AYCA-55AZ5J,"2 Smith st, Summer Hill, NSW 2130",,,
AYCA-55JR8W,"228 King Street, Newtown, NSW- 2042",,,
AYCA-55KUFO,31 Bay Road Taren Point NSW 2229,,,
AYCA-55RMFH,"1521 The Horsley Dr, Abbotsbury, NSW- 2176",,,
AYCA-55XM3V,"10-12 Roger St, Brookvale, NSW,2100",,,
AYCA-55ZVL2,"45 Foxall Road, Kellyville",,,
AYCA-562Y8R,"900 Wilton Rd, Appin NSW",,,
AYCA-56B97M,"1 Tangerine St, Fairfield East",,,
AYCA-56I886,"Cecil Ash - 47 Cecil St, Ashfield",,,
AYCA-56PJ6I,"645 Pacific Hwy, Kanwal, NSW- 2259",,,
AYCA-56YY5F,"120-122 Hume Highway, Canley Vale NSW",,,
AYCA-56Z0PS,37-49 O'Connor Street Chippendale,,,
AYCA-577BDS,36 Huntingwood Drive Huntingwood - INTERNAL,,,
AYCA-57JCRY,"27a, 31, 33 & 35 Louis Street,Granville, NSW 2142",,,
AYCA-57KT5A,"153 Jamison Rd, Penrith",,,
AYCA-57Y4AJ,2140 Camden Valley Way,,,
AYCA-583XDD,117-119 Jamison Rd South Penrith NSW 2750,,,
AYCA-58BKNK,"4 Junction St, Ryde - QUBE",,,
AYCA-59CA2X,"13 Stafford St, Kingswood, NSW- 2747",,,
AYCA-5A2Y34,"100 George Street, East Maitland",,,
AYCA-5AVN4W,"23-25 Forest Grove, Epping",,,
AYCA-5AXHNZ,"4 Murray Rose Ave, Sydney Olympic Park, NSW, 2127",,,
AYCA-5BOGUB,"11B Lachlan St, Waterloo, NSW 2017- Externals",,,
AYCA-5BOGUB,11B Lachlan St Waterloo NSW 2017 - Internals,,,
AYCA-5BXBTE,"41 Langer Ave, Caringbah",,,
AYCA-5CMO2F,"6 Parish Dr, Beresfield, NSW- 2322",,,
AYCA-5CQHIP,"24 Barber Ave, Penrith, NSW 2750",,,
AYCA-5CYZU8,"12 Highgate Circuit, Kellyville, NSW 2155",,,
AYCA-5D2DU0,"Lot 65 Shorebreak Crescent Lake Cathie, NSW 2445",,,
AYCA-5D4EG4,"8 Totness Court, Castle Hill NSW 2154",,,
AYCA-5DL8UH,"Boland Drive, Moree",,,
AYCA-5DPOWN,"13 Technology Drive, Appin - EXTERNAL",,,
AYCA-5DPOWN,"13 Technology Drive, Appin - INTERNAL",,,
AYCA-5DVB9M,"4 Magdalene Terrace, Wolli Creek, NSW 2205",,,
AYCA-5E4D09,2-6 Dolerite Way Pemulwuy NSW 2145,,,
AYCA-5EJRTN,"31-31A Perry St, Campsie",,,
AYCA-5ETO6E,"4 Jack Smyth Drive, Hillvue",,,
AYCA-5F0TZX,"6 Bangalley Way, Avalon Beach, NSW- 2107",,,
AYCA-5FCHOB,"23 Grahams Hill Road, Narellan",,,
AYCA-5FCMYJ,"117 Rookwood Road, Yagoona",,,
AYCA-5FE5LS,"50 Hoxton Park Road, Liverpool, NSW- 2170",,,
AYCA-5FJLCJ,"476 Macleay Valley Way, South Kempsey, NSW, 2440",,,
AYCA-5G1AHP,"2-14 Amelia Street, Waterloo -",,,
AYCA-5GPSWE,"100A- 100B Northcote Street, Canterbury",,,
AYCA-5GWBTB,"4 Davies Place, Picton",,,
AYCA-5HY3IQ,"1 Stratheden Street, Kyogle",,,
AYCA-5IOF6P,"120 Hume Highway, Chullora ",,,
AYCA-5IWI3A,"26 Queen Street, Stockton",,,
AYCA-5JO5XA,"5-9 White Avenue, Bankstown",,,
AYCA-5JYO3A,"1B Maddox Street, Alexandria NSW 2015",,,
AYCA-5K2YBV,"65 Victoria Street Coffs Harbour, NSW 2450, Victoria Terrace",,,
AYCA-5KDIAQ,"67 Newleaf Parade, Bonnyrigg NSW 2177",,,
AYCA-5KPEKH,Olive Hill Drvie Cobbitty NSW 2570,,,
AYCA-5L49UP,"4 Water Street, Wentworthville NSW 2145",,,
AYCA-5LZJ26,"72 Canterbury Road, Bankstown , NSW2200",,,
AYCA-5M4R4N,"76 Irwin Street, Werrington NSW 2747",,,
AYCA-5M84RG,"72 Boultwood Street, Coffs Harbour, NSW 2450",,,
AYCA-5MG99P,"593 Old Illawarra Road, Menai NSW 2234",,,
AYCA-5MG99P,593 Old Illawarra Road Menai NSW 2234 ,,,
AYCA-5MGOY8,"589 Old Illawarra Road, Menai NSW 2234",,,
AYCA-5MGOY8,589 Old Illawarra Road Menai NSW 2234,,,
AYCA-5MHAO7,"Site 18, Dawn Fraser Avenue Sydney Olympic Park, NSW 2127",,,
AYCA-5ML96W,24 Blackwood Avenue Casula NSW 2170 ,,,
AYCA-5ML96W,24 Blackwood Avenue Casula NSW 2170 ,,,
AYCA-5MNUDQ,221 Queen Street Beaconsfield NSW 2015,,,
AYCA-5MWJQ4,222 Wallace St Macksville,,,
AYCA-5N0IF2,30 Park Ave Coffs Harbour NSW 2450,,,
AYCA-5NB7OP,"83 Redhead Road, Redhead, NSW, 2290",,,
AYCA-5NM0LP,"118 Burwood Road, Croydon Park NSW 2133",,,
AYCA-5NXLZB,"158 Terrigal Drive, Terrigal , NSW 2260",,,
AYCA-5PBMZD,14 SALISBURY ST URALLA NSW 2358,,,
AYCA-5PIMJX,"36A Park Road, Naremburn, NSW 2065 ",,,
AYCA-5QX4TH,"164 Cathedral Street, Woolloomooloo, NSW 2011",,,
AYCA-5SX5PK,"51-55 Burraneer Bay Road, Burraneer, NSW 2230",,,
AYCA-5T1531,"293 Princes Highway, Saint Peters, NSW 2044",,,
AYCA-5WOZHL,"18 Rawson Road, South Wentworthville, NSW 2145",,,
AYCA-EV5EP,Smiths Lane Wongawilli NSW 2530 ,,,
AYCA-5K1HTP,"18 Gibbons Street, Auburn NSW 2144",,,
AYCA-60KQLM,"44A Foveaux Street, Surry Hills NSW",,,
AYCA-5E4D09,"2-6 Dolerite Way, Pemulwuy NSW 2145",,,
AYCA-5T1531,"293 Princes Highway, Saint Peters, NSW 2044",,,
AYCA-Y8UNL,"Belmore Street Burwood, NSW 2134",,,
AYCA-5L4YBN,"13a Locosi Street, Schofields",,,
AYCA-3O8ECI,"170-178 Bondi Road, Bondi",,,
AYCA-36XIQO,"9 Fairway Drive, Kellyville",,,
AYCA-5QVLJR,"60 Veron Street, Wentwothville",,,
AYCA-5218CU,1- Springbrook Boulevarde ,,,
AYCA-3T5IJK,"58 George Street, Box Hill",,,
AYCA-5TDQG3,"20-22 Craig Street, Punchbowl",,,