Item ID,Item Description,Unit of Measure (UoM),"Total per Unit 
($/UOM)",
02-02,PVC Pipe Supply and Underground Installation,,,
02-02-01-01,Supply and install 1 x P50 PVC pipe in open trench in OTR (Other Than Rock),Per metre, $	46.76 ,
02-02-01-02,Supply and install 1 x P100 PVC pipe in open trench in OTR (Other Than Rock),Per metre, $	51.05 ,
02-02-01-08,Supply and install 1 x P50 PVC pipe in open trench in Rock,Per metre, $	133.37 ,
02-02-01-09,Supply and install 1 x P100 PVC pipe in open trench in Rock,Per metre, $	156.94 ,
02-02-01-15,"Extra over for all pipe size road crossings kerb to kerb (OTR), this extra over applies to 02-02-01-01 to 02-02-01-07.",Per metre, $	92.87 ,
02-02-01-16,"Extra over for all pipe size road crossings kerb to kerb (Rock), this extra over applies to 02-02-01-08 to 02-02-01-14.",Per metre, $	126.77 ,
02-02-02-01,Supply and install 1 x P50 (63 OD) pipe using boring techniques in OTR (Other Than Rock) less than 250m,Per metre, $	64.62 ,
02-02-02-02,Supply and install 1 x P100 (110 OD) pipe using boring techniques in OTR (Other Than Rock) less than 250m,Per metre, $	102.04 ,
02-02-02-05,Supply and install 1 x P50 (63 OD) pipe using boring techniques in Rock less than 250m,Per metre, $	305.06 ,
02-02-02-06,Supply and install 1 x P100 (110 OD) pipe using boring techniques in Rock less than 250m,Per metre, $	402.74 ,
02-02-03-01,Supply and install 1 x P50 PVC pipe in open trench provided and reinstated by others,Per metre, $	12.63 ,
02-02-03-02,Supply and install 1 x P100 PVC pipe in open trench provided and reinstated by others,Per metre, $	15.96 ,
02-02-04-01,Supply and install pipe seal 50mm (Tyco product Jackmoon),Each seal, $	71.24 ,
02-02-04-02,Supply and install pipe seal 100mm (Tyco product Jackmoon),Each seal, $	77.74 ,
02-02-04-05,Supply and install pipe seal of TDUX 50mm,Each Seal, $	76.37 ,
02-02-04-06,Supply and install pipe seal of TDUX 100mm,Each Seal, $	81.53 ,
02-02-04-07,Removal of TDUX (50mm or 100mm),Each seal, $	48.47 ,
02-03-01-01,Installation only of small pits at new locations in OTR (Other Than Rock),Each pit, $	324.70 ,
02-03-01-02,Installation only of medium pits at new locations in OTR (Other Than Rock),Each pit, $	450.79 ,
02-03-01-03,Installation only of large pits at new locations in OTR (Other Than Rock),Each pit, $	835.58 ,
02-03-02-01,Extra over for excavation in Rock for pit and manhole installations,Per cubic metre, $	200.45 ,
02-03-03-01,Installation only of small pits with excavation and reinstatement provided by others (i.e. new development),Per Pit, $	166.07 ,
02-03-03-02,Installation only of medium pits with excavation and reinstatement provided by others (i.e. new development),Per Pit, $	214.54 ,
02-03-03-03,Installation only of large pits with excavation and reinstatement provided by others (i.e. new development),Per Pit, $	467.08 ,
02-03-04-01,Installation only of small pits over existing infrastructure in OTR (Other Than Rock),Each Pit, $	445.18 ,
02-03-04-02,Installation only of medium pits over existing infrastructure in OTR (Other Than Rock),Each Pit, $	759.10 ,
02-03-04-03,Installation only of large pits over existing infrastructure in OTR (Other Than Rock),Each Pit," $	1,541.06 ",
02-04-01-01,Core bore concrete – 50mm diameter hole,Per 100mm depth, $	219.73 ,
02-04-01-02,Core bore concrete – 100mm diameter hole,Per 100mm depth, $	242.23 ,
02-04-01-03,Core bore concrete – 20mm diameter hole,Per 100mm depth, $	136.05 ,
02-04-01-04,"Extra over to be used in conjunction with 02-04-01-01, core bore concrete 
– 50mm diameter hole per additional 100mm depth",Per 100mm depth, $	108.11 ,
02-04-01-05,"Extra over to be used in conjunction with 02-04-01-02, core bore concrete 
– 100mm diameter hole per additional 100mm depth",Per 100mm depth, $	108.11 ,
02-04-01-06,"Extra over to be used in conjunction with 02-04-01-03, core bore concrete 
– 20mm diameter hole per additional 100mm depth",Per 100mm depth, $	85.37 ,
02-06-01-02,"Breakout surface material, concrete (reinforced or unreinforced) up to 150mm thick",Per square metre, $	101.06 ,
02-06-01-03,"Breakout surface material, bitumen or asphalt pavement up to 100mm thick",Per square metre, $	88.13 ,
02-06-01-04,"Breakout surface material, bricks or pavers on compacted sand or base course layer",Per square metre, $	72.31 ,
02-06-02-01,"Reinstatement of surface materials in turfed, grassed or soft landscaped areas",Per square metre, $	12.41 ,
02-06-02-02,Reinstatement of surface materials in concrete (reinforced or unreinforced) up to 150mm thick,Per square metre, $	196.18 ,
02-06-02-03,Reinstatement of surface materials in bitumen or asphalt pavement up to 100mm thick,Per square metre, $	143.41 ,
02-06-02-04,Reinstatement of surface materials in bricks and pavers on compacted sand or base course layer,Per square metre, $	128.96 ,
03,CABLE INSTALLATION (UNDERGROUND),,,
03-01-01-01,"Pipe proving in existing occupied pipe.
The prices shall include all costs associated with:
 - Proving the pipe with an appropriate mandrel (as required) or by other means;
 - Supply and installation of draw rope; and
 - Any other preparation works necessary for cable installation.",Per metre, $	2.80 ,
03-01-01-02,"Pipe proving in existing unoccupied or vacant pipe.
Pipe proving in existing unoccupied or vacant pipe.
The prices shall include all costs associated with:
 - Proving the pipe with an appropriate mandrel (as required) or by any other means;
 - Supply and installation of draw rope; and
 - Any other preparation works necessary for cable installation.",Per metre, $	2.27 ,
03-02-01-01,Identify and repair a single pipe at a single blockage location less than 1200mm deep and up to 2m in length.,Per single pipe blockage, $	619.68 ,
03-02-01-05,Identify and repair a pipe blockage location greater than 1200mm deep and up to 2m in length using excavation techniques.,Quote,Quote,
03-02-01-06,Identify and repair a single pipe at a single blockage location using non excavation techniques.,Per single pipe blockage, $	579.80 ,
03-03-01-01,Installation only of NBN Co approved cables for underground Local Network in new or existing vacant pipe,Per metre, $	4.32 ,
03-03-01-02,Installation only of NBN Co approved cables for underground Local Network in existing occupied pipe,Per metre, $	5.36 ,
03-03-02-01,Installation only of NBN Co approved cables for underground Distribution or Transit Networks in new or existing vacant pipe,Per metre, $	3.86 ,
03-03-02-02,Installation only of NBN Co approved cables for underground Distribution or Transit Networks in existing occupied pipe,Per metre, $	4.42 ,
05,CABLE INSTALLATION (INTERNAL),,,
05-01-01-01,"Supply and installation of internal cable tray (150mm Unitray/Teltray, powder coated grey or equivalent).",Per metre, $	40.93 ,
05-01-02-01,Hauling and installation of cable within buildings,Per metre, $	7.91 ,
06-01,Joint Enclosures,,,
06-01-01-01,Installation only of fibre joint enclosure. (Excludes Multiports) (covers all joint sizes),Per enclosure, $	136.70 ,
06-01-02-01,"Prepare 72 fibre loose tube cable sheath for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	337.08 ,
06-01-02-02,"Prepare 144 fibre loose tube cable sheath for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	483.92 ,
06-01-02-03,"Prepare 192 fibre loose tube cable sheath for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	620.79 ,
06-01-02-04,"Prepare 312 fibre loose tube cable sheath for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	901.73 ,
06-01-02-05,"Prepare 48 fibre loose tube cable sheath for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	242.35 ,
06-01-03-01,"Prepare 144 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	195.53 ,
06-01-03-02,"Prepare 192 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	257.50 ,
06-01-03-04,"Prepare 432 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	419.43 ,
06-01-03-05,"Prepare 576 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	454.64 ,
06-01-03-06,"Prepare 864 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	603.61 ,
06-01-03-07,"Prepare 12 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	98.27 ,
06-01-03-08,"Prepare 72 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	142.67 ,
06-01-03-09,"Prepare 288 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint, $	348.87 ,
06-01,PON Patching,,,
06-03-02-01,Supply and install - Simplex SCA-SCA 2.5 metre SMOF patch cables 2mm sheath,Per patch Lead, $	59.03 ,
06-03-02-02,Supply and install - Simplex SCA-SCA 3.0 metre SMOF patch cables 2mm sheath,Per patch Lead, $	127.15 ,
06-03-02-03,Supply and install - Simplex SCA-SCA 3.5 metre SMOF patch cables 2mm sheath,Per patch Lead, $	127.52 ,
06-03-02-04,Supply and install - Simplex SCA-SCA 4.0 metre SMOF patch cables 2mm sheath,Per patch Lead, $	127.89 ,
06-03-02-05,Supply and install - Simplex SCA-SCA 4.5 metre SMOF patch cables 2mm sheath,Per patch Lead, $	127.67 ,
06-03-02-06,Supply and install - Simplex SCA-SCA 5.0 metre SMOF patch cables 2mm sheath,Per patch Lead, $	127.93 ,
06-03-02-07,Supply and install - Simplex SCA-SCA 5.5 metre SMOF patch cables 2mm sheath,Per patch Lead, $	128.38 ,
06-03-02-08,Supply and install - Simplex SCA-SCA 6.0 metre SMOF patch cables 2mm sheath,Per patch Lead, $	129.05 ,
06-03-02-09,Supply and install - Simplex SCA-SCA 6.5 metre SMOF patch cables 2mm sheath,Per patch Lead, $	129.04 ,
06-03-02-10,Supply and install - Simplex SCA-SCA 7.0 metre SMOF patch cables 2mm sheath,Per patch Lead, $	129.62 ,
06-03-02-11,Supply and install - Simplex SCA-SCA 7.5 metre SMOF patch cables 2mm sheath,Per patch Lead, $	129.69 ,
06-03-02-12,Supply and install - Simplex SC-SCA 2.5 metre SMOF patch cables 2mm sheath,Per patch Lead, $	126.94 ,
06-03-02-13,Supply and install - Simplex SC-SCA 3.0 metre SMOF patch cables 2mm sheath,Per patch Lead, $	127.15 ,
06-03-02-14,Supply and install - Simplex SC-SCA 2.1 metre SMOF patch cables 2mm sheath,Per patch Lead, $	55.72 ,
06-04,Splitters,,,
06-04-01-01,Installation only of all passive splitter cards in cabinets/racks,Per Splitter, $	131.19 ,
06-04-01-02,Installation of a splitter card output Fibres to LFN Ports includes update of fibre detail record in Cabinet,Per Splitter, $	190.44 ,
06-04-01-03,Installation of a splitter card output Fibres to LFN Ports includes update of fibre detail record in Cabinet,Per Fibre, $	10.67 ,
06-05-02-01,Install only to plastic wall underground multiports including the supply and installation of all necessary connection materials,Per unit, $	49.93 ,
06-05-02-02,Install only to concrete wall underground multiports including the supply and installation of all necessary connection materials,Per unit, $	72.04 ,
06-06-01-01,Splicing of optic fibre loose tube Simplex jointing,Per splice, $	16.48 ,
06-06-01-02,Splicing of optic fibre loose tube Complex jointing,Per splice, $	19.21 ,
06-06-01-03,Splicing of optic fibre ribbon cable Simplex jointing,Per ribbon  , $	24.00 ,
06-06-01-04,Splicing of optic fibre ribbon cable Complex  jointing,Per fibre, $	16.48 ,
06-07,Fibre Testing OTDR,,,
06-07-01-01,Local Network OTDR testing per fibre from the FDH to the lead-in side of the multiport,Per fibre, $	34.89 ,
06-07-01-02,Local Network Insertion Loss testing per fibre from the FDH to the lead-in side of the Underground multiport,Per fibre, $	76.11 ,
06-07-01-05,Local Network OTDR Testing per fibre from the FDH to the lead-in side of the CTL or FDT,Per fibre, $	60.61 ,
06-07-01-06,Local Network Insertion Loss Testing per fibre from the FDH to the lead-in side of the CTL or FDT,Per fibre, $	76.11 ,
06-07-02-01,Distribution Network OTDR testing per fibre from the FAN to the FDH,Per fibre, $	34.89 ,
06-07-03-03,Premises Network OTDR Testing per fibre from the FDT to PCD or FWO,Per fibre, $	46.08 ,
06-07-03-04,Premises Network Insertion Loss Testing per fibre from the FDT to PCD or FWO,Per fibre, $	76.11 ,
06-07-03-05,Premises Network OTDR Testing per fibre from the PCD or ICD towards the FDH ,Per fibre, $	60.61 ,
06-07-02-02,Distribution Network Insertion Loss testing per fibre from the FAN to the PDH,Per fibre, $	76.11 ,
45,Contractor Supplied Material,,,
45-01-01-01,Supply only P1 Plastic Pit (508x218x400),Each Pit, $	60.05 ,
45-01-01-02,Supply only P2 Plastic Pit (655x290x575),Each Pit, $	69.43 ,
45-01-01-03,Supply only P3 Plastic Pit (780x355x635),Each Pit, $	126.59 ,
45-01-01-04,Supply only P4 Plastic Pit (700x390x820),Each Pit, $	119.91 ,
45-01-01-05,Supply only P5 Plastic Pit (710x455x635),Each Pit, $	118.99 ,
45-01-01-06,Supply only P6 Plastic Pit (1370x550x680),Each Pit, $	392.30 ,
45-01-01-07,Supply only P8 Plastic Pit (1380x565x890),Each Pit, $	500.74 ,
45-01-01-08,Supply only P9 Plastic Pit (2040x 550x900),Each Pit, $	944.54 ,
45-01-01-10,Supply only J8 pit (1380x560x910),Each Pit, $	549.24 ,
45-01-01-11,Supply only J9 pit (2030x560x910),Each Pit, $	641.50 ,
45-01-01-21,Supply only PF4 or equivalent prefabricated concrete manhole (2600x1245x1490),Each Pit," $	4,227.98 ",
45-01-01-22,Supply only PF12 or equivalent prefabricated concrete manhole (2900x1380x1750),Each Pit," $	5,938.31 ",
45-01-01-25,Supply and Install only 150mm cable tray (Wall Mounted),Per metre, $	46.77 ,
45-01-01-26,Supply and Install only 300mm cable tray (Wall Mounted),Per metre, $	52.41 ,
45-01-01-27,Supply and Install  150mm cable tray (Ceiling Suspended),Per Metre, $	46.00 ,
45-01-01-28,Supply and Install  300mm cable tray (Ceiling Suspended),Per Metre, $	52.09 ,
50,Asbestos,,,
50-03-01-28,Asbestos - Drilling into Asbestos wall or pit,Each, $	310.93 ,
50-03-01-29,Asbestos - Removal of Asbestos Pit,Each," $	2,740.23 ",
C1-02-02-Q2,Asbestos – handling and removal,Quote,Quote,
C1-02-02-Q3,Reinstatement of street network between the nearest network access point and the property boundary of the end user's premise,Quote,Quote,
01,DESIGN,,,
01-02,Detail Design,,,
01-02-01-01,Provision of Detail Design for Local and Distribution Networks. [This item includes all common design effort within a FSAM however the Distribution Network is limited to that within the boundaries of the area covered by the Local Network FDAs],Per Cadastra,Quote,
01-02-01-02,Extra over item 01-02-01-01 for Detail Design of Local Aerial Network. [Extra over costs to complete specific aerial design activities such as detailed measurements. Payment shall be based on the number of Aerial GNAFs as an extra over item],Per Cadastra,Quote,
01-02-01-03,"Verification of Detail Design provided by third party for Local and Distribution Network 
(Undertake all things necessary to accept design ownership responsbility)      ",Per Cadastra,Quote,
01-02-02-01,Provision of Detail Design for the Distribution Network beyond the Local Network FSAM boundary,Per route kilometre,Quote,
01-02-03-01,Provision of Detail Design for the Transit Network in pit and pipe,Per route kilometre,Quote,
01-02-03-02,Provision of Detail Design for the Transit Network directed buried using plough techniques,Per route kilometre,Quote,
01-02-03-03,"Verification of Detail Design provided by third party for Transit Network
(Undertake all things necessary to accept design ownership responsbility)      ",Per route kilometre,Quote,
,MDU Survey and Design,,,
,MDU Survey,per MDU,"$2,106.00",
,Lead-in Survey (connection to LNDN),per MDU,$702.00,
,"MDU Design and Installation Pack (4-9 EUPs) - include  design for MDU Build and LNDN Connection , Bill of Materials, Schedule of Rates, and quantities",per MDU,$493.29,
,"MDU Design and Installation Pack (10-20 EUPs) - include  design for MDU Build and LNDN Connection , Bill of Materials, Schedule of Rates, and quantities",per MDU,$757.79,
,"MDU Design and Installation Pack (21-30 EUPs) - include  design for MDU Build and LNDN Connection , Bill of Materials, Schedule of Rates, and quantities",per MDU,"$1,095.03",
,"MDU Design and Installation Pack (31-60 EUPs) - include  design for MDU Build and LNDN Connection , Bill of Materials, Schedule of Rates, and quantities",per MDU,"$1,670.32",
,"MDU Design and Installation Pack (61-110 EUPs) - include  design for MDU Build and LNDN Connection , Bill of Materials, Schedule of Rates, and quantities",per MDU,"$2,641.03",
,"MDU Design and Installation Pack (111-220 EUPs) - include  design for MDU Build and LNDN Connection , Bill of Materials, Schedule of Rates, and quantities",per MDU,"$3,282.45",
,"MDU Design and Installation Pack (> 220 EUPs) - include  design for MDU Build and LNDN Connection , Bill of Materials, Schedule of Rates, and quantities",per MDU,"$3,995.27",
,Detailed Design in SpatialNET,Per EUP,$67.50,
02,CIVIL WORKS,,,
02-01,New Pole Installations,,,
02-01-01-01,Supply and installation of new timber pole (hardwood) for tether extensions and/or aerial lead-in cables and/or Local Networks up to 8m above ground.,Per pole,Quote,
02-01-01-02,Supply and installation of new steel pole for tether extensions and/or aerial lead-in cables and/or Local Networks up to 8m above ground.,Per pole,Quote,
02-01-01-03,Supply and installation of new timber pole (hardwood) for tether extensions and/or aerial lead-in cables and/or Local Networks up to 10m above ground.,Per pole,Quote,
02-01-01-04,Supply and installation of new steel pole for tether extensions and/or aerial lead-in cables and/or Local Networks up to 10m above ground.,Per pole,Quote,
02-01-01-05,"Extra over for drilling in Rock for new pole installations, this extra over applies to 02-01-01-01 to 02-01-01-04.",Per linear metre,Quote,
02-02,PVC Pipe Supply and Underground Installation,,,
02-02-01,Open Trenching,,,
02-02-01-03,Supply and install 1 x P100 + 1 x P50 PVC pipes in open trench in OTR (Other Than Rock),Per metre,Quote,
02-02-01-04,Supply and install 2 x P100 PVC pipes in open trench in OTR (Other Than Rock),Per metre,Quote,
02-02-01-05,Supply and install 2 x P100 + 1 x P50 PVC pipes in open trench in OTR (Other Than Rock),Per metre,Quote,
02-02-01-06,Supply and install 4 x P100 PVC pipes in open trench in OTR (Other Than Rock),Per metre,Quote,
02-02-01-07,Supply and install 8 x P100 PVC pipes in open trench in OTR (Other Than Rock),Quote,Quote,
02-02-01-10,Supply and install 1x P100 + 1 x P50 PVC pipes in open trench in Rock,Per metre,Quote,
02-02-01-11,Supply and install 2 x P100 PVC pipes in open trench in Rock,Per metre,Quote,
02-02-01-12,Supply and install 2 x P100 + 1 x P50 PVC pipes in open trench in Rock,Per metre,Quote,
02-02-01-13,Supply and install 4 x P100 PVC pipes in open trench in Rock,Per metre,Quote,
02-02-01-14,Supply and install 8 x P100 PVC pipes in open trench in Rock,Quote,Quote,
,Extra and Over trench in OTR (750mm deep to 50m),per metre,$22.79,
,Extra and Over trench in OTR (750mm deep over 51 and up to 200),per metre,$17.58,
,Extra and Over trench in OTR (750mm deep over 201 and up to 1000),per metre,$13.30,
,Extra and Over Provision of trench in rock (750 mm deep up to 100 metres in length),per metre,$89.21,
02-02-02,Directional Boring ,,,
02-02-02-03,Supply and install 2 x P100 (110 OD) pipes using boring techniques in OTR (Other Than Rock) less than 250m,Per metre,$203.06,
02-02-02-04,Supply and install >2 x P100 (110 OD) pipes using boring techniques in OTR (Other Than Rock),Quote,Quote,
02-02-02-07,Supply and install 2 x P100 (110 OD) pipes using boring techniques in Rock less than 250m,Per metre,Quote,
02-02-02-08,Supply and install  more than 2 x P100 (110 OD) pipes using boring techniques in Rock,Quote,Quote,
,Grundomat to 50mm ID (63 OD) pipe under footpaths and driveways,per metre,$49.61,
,Grundomat 51-100mm ID pipe under footpaths and driveways,per metre,$76.30,
,Trenchless Techniques Establishment Fee,Flat Fee,$354.88,
,Grundomat Establishment Fee,Flat Fee,$114.75,
02-02-03,Open Trenching and Reinstatement by Others,,,
02-02-03-03,Supply and install 1 x P100 + 1 x P50 PVC pipes in open trench provided and reinstated by others,Per metre,$34.99,
02-02-03-04,Supply and install 2 x P100 PVC pipes in open trench provided and reinstated by others,Per metre,$43.23,
02-02-03-05,Supply and install 2 x P100 + 1 x P50 PVC pipes in open trench provided and reinstated by others,Per metre,Quote,
02-02-03-06,Supply and install 4 x P100 PVC pipes in open trench provided and reinstated by others,Per metre,Quote,
02-02-03-07,Supply and install 8 x P100 PVC pipes in open trench provided and reinstated by others,Quote,Quote,
02-02-04,Pipe Seals and Subduct,,,
02-02-04-03,Install Maxcell subduct (all sizes),Per metre,Quote,
,"Supply and install TDUX,  50mm & 100mm",Each,$99.50,
,"Supply and install TDUX,  32mm",Each,$70.00,
,E/O for TDUX Clip in conduit with multiple cables,each,$17.50,
02-03,Pits/Manholes (Installation only),,,
02-03-01,Pits/Manholes at New Locations in OTR,,,
02-03-01-04,Installation only of large prefabricated concrete manholes at new locations in OTR (Other Than Rock),Each manhole,Quote,
02-03-01-05,Installation only of extra large pits at new locations in OTR (Other Than Rock),Each pit,"$1,571.46",
02-03-02,Pits/Manholes at New Locations in Rock,,,
02-03-03,Pits/Manholes at New Locations in Excavations Provided by Others,,,
02-03-03-04,Installation only of large prefabricated concrete manholes with excavation and reinstatement provided by others (i.e. new development),Per Manhole,Quote,
02-03-03-05,Installation only of extra large pits with excavation and reinstatement provided by others (i.e. new development),Per Pit,Quote,
02-03-04,Pits/Manholes Over Existing Infrastructure in OTR for pits with no remediation obligation,,,
,Installation of pit over exist infrastructure Single cover Plastic Pit (P2),each,$350.00,
,Installation of P5 Riser ,each,$297.45,
,Installation of pit over exist infrastructure Single cover Plastic Pit (P5 + collar/riser),each,"$1,097.29",
,Installation of P6 Riser,each,$485.07,
,New pit over existinfrastructure Double cover Plastic Pit (P8 ie P6 + collar/riser),each,"$2,259.36",
02-03-04-04,Installation only of large prefabricated concrete manholes over existing infrastructure in OTR (Other Than Rock),Each manhole,Quote,
02-03-04-05,Installation only of extra large pits over existing infrastructure in OTR (Other Than Rock),Each Pit,"$2,375.57",
,Extra/over part of P9 to increase depth of P9,each,$944.34,
,E/O additional collar/riser - single cover pit,each,$297.45,
,E/O additional collar/riser - double cover pit,each,$297.45,
,Extra/over to upgrade from P5 pit to P6 pit,each pit,$371.08,
,Extra/over to upgrade from P5 pit to P8 pit,each pit,$577.98,
,Extra/over to upgrade from P5 pit to P9 pit,each pit,$974.08,
,Pit and Manhole Maintenance Items,,,
,Replace Manhole Covers - heavy concrete type,each,$311.38,
